pillar,category,seed,title
Frontend & UI/UX,Frontend — HTML & Accessibility,"semantic HTML (headings, landmarks)","HTML vs div soup — fix semantic HTML (headings, landmarks) like a pro"
Frontend & UI/UX,Frontend — HTML & Accessibility,forms & validation,Keyboard-first flows for forms & validation
Frontend & UI/UX,Frontend — HTML & Accessibility,labels & inputs (ARIA),Screen reader testing checklist for labels & inputs (ARIA)
Frontend & UI/UX,Frontend — HTML & Accessibility,"images: alt, srcset, picture","Design tokens in plain HTML: images: alt, srcset, picture"
Frontend & UI/UX,Frontend — HTML & Accessibility,"links, buttons & a11y traps","Forms that never fail on 2G: links, buttons & a11y traps"
Frontend & UI/UX,Frontend — HTML & Accessibility,"SEO basics: meta, robots, sitemaps","SEO basics: meta, robots, sitemaps in 60 seconds — intuition first, code second"
Frontend & UI/UX,Frontend — HTML & Accessibility,preload/prefetch/priorities,Stop guessing: battle-tested patterns for preload/prefetch/priorities
Frontend & UI/UX,Frontend — HTML & Accessibility,CSP & security headers (intro),From messy to clean: refactor your CSP & security headers (intro) live
Frontend & UI/UX,Frontend — HTML & Accessibility,progressive enhancement,Top 7 mistakes in progressive enhancement (and quick fixes)
Frontend & UI/UX,Frontend — HTML & Accessibility,native dialogs & details/summary,Whiteboard → code: ship native dialogs & details/summary with guardrails
Frontend & UI/UX,Frontend — HTML & Accessibility,"semantic HTML (headings, landmarks)","Interview-ready: 5 bullets that explain semantic HTML (headings, landmarks)"
Frontend & UI/UX,Frontend — HTML & Accessibility,forms & validation,Explain like I’m 5: forms & validation without jargon
Frontend & UI/UX,Frontend — HTML & Accessibility,labels & inputs (ARIA),When to pick A vs B inside labels & inputs (ARIA)
Frontend & UI/UX,Frontend — HTML & Accessibility,"images: alt, srcset, picture","Debugging live: fix a broken images: alt, srcset, picture in minutes"
Frontend & UI/UX,Frontend — HTML & Accessibility,"links, buttons & a11y traps","Templates you’ll reuse for links, buttons & a11y traps all year"
Frontend & UI/UX,Frontend — HTML & Accessibility,"SEO basics: meta, robots, sitemaps","The mental model that unlocks SEO basics: meta, robots, sitemaps"
Frontend & UI/UX,Frontend — HTML & Accessibility,preload/prefetch/priorities,Perf-first preload/prefetch/priorities: make it fast on low-end Android
Frontend & UI/UX,Frontend — HTML & Accessibility,CSP & security headers (intro),Accessibility-first CSP & security headers (intro): include everyone
Frontend & UI/UX,Frontend — HTML & Accessibility,progressive enhancement,Cost-aware progressive enhancement: speed without burning cloud spend
Frontend & UI/UX,Frontend — HTML & Accessibility,native dialogs & details/summary,Real incidents I’ve seen because of bad native dialogs & details/summary
Frontend & UI/UX,Frontend — HTML & Accessibility,"semantic HTML (headings, landmarks)","Design reviews: what senior folks look for in semantic HTML (headings, landmarks)"
Frontend & UI/UX,Frontend — HTML & Accessibility,forms & validation,From junior to senior: how you talk about forms & validation
Frontend & UI/UX,Frontend — HTML & Accessibility,labels & inputs (ARIA),Before you code: 4 questions for any labels & inputs (ARIA)
Frontend & UI/UX,Frontend — HTML & Accessibility,"images: alt, srcset, picture","Do’s & don’ts cheat sheet for images: alt, srcset, picture"
Frontend & UI/UX,Frontend — HTML & Accessibility,"links, buttons & a11y traps","UX wins: small tweaks in links, buttons & a11y traps with huge impact"
Frontend & UI/UX,Frontend — HTML & Accessibility,"SEO basics: meta, robots, sitemaps","Platform tips: ship SEO basics: meta, robots, sitemaps to Insta Reels/Shorts"
Frontend & UI/UX,Frontend — HTML & Accessibility,preload/prefetch/priorities,HTML vs div soup — fix preload/prefetch/priorities like a pro
Frontend & UI/UX,Frontend — HTML & Accessibility,CSP & security headers (intro),Keyboard-first flows for CSP & security headers (intro)
Frontend & UI/UX,Frontend — HTML & Accessibility,progressive enhancement,Screen reader testing checklist for progressive enhancement
Frontend & UI/UX,Frontend — HTML & Accessibility,native dialogs & details/summary,Design tokens in plain HTML: native dialogs & details/summary
Frontend & UI/UX,Frontend — HTML & Accessibility,"semantic HTML (headings, landmarks)","Forms that never fail on 2G: semantic HTML (headings, landmarks)"
Frontend & UI/UX,Frontend — HTML & Accessibility,forms & validation,"forms & validation in 60 seconds — intuition first, code second"
