pillar,category,seed,title
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",classic weighing puzzles,How to structure answers for classic weighing puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",hat & prisoner puzzles,Spot the invariant: hat & prisoner puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",river crossing puzzles,Reduce search space in river crossing puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",probability & cards,Explain assumptions clearly in probability & cards
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",truth/lie logic,Practice cadence & warmups for truth/lie logic
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",lateral thinking,lateral thinking in 60 seconds — what interviewers really look for
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",invariant & parity tricks,Stop winging it: battle-tested patterns for invariant & parity tricks
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",estimation & Fermi problems,Top 7 mistakes in estimation & Fermi problems (and quick fixes)
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",pattern & sequence puzzles,From confused to confident: how to prep pattern & sequence puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",tricky interview riddles,Whiteboard → offer: ship tricky interview riddles with guardrails
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",classic weighing puzzles,Interview-ready: 5 bullets that explain classic weighing puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",hat & prisoner puzzles,Explain like I’m 5: hat & prisoner puzzles without jargon
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",river crossing puzzles,What senior interviewers evaluate in river crossing puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",probability & cards,Mock-interview debrief: the truth about probability & cards
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",truth/lie logic,Red flags & green flags I’ve seen in truth/lie logic
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",lateral thinking,"Psychology of lateral thinking: framing, tempo, control"
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",invariant & parity tricks,Timeboxing & structure: ace invariant & parity tricks under pressure
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",estimation & Fermi problems,Proof of impact: quantify your estimation & Fermi problems
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",pattern & sequence puzzles,Checklist before D-day: pattern & sequence puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",tricky interview riddles,Honest prep: how to practice tricky interview riddles daily
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",classic weighing puzzles,Pattern library you’ll reuse for classic weighing puzzles all year
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",hat & prisoner puzzles,India-first prep tips: hat & prisoner puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",river crossing puzzles,Common myths about river crossing puzzles — busted
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",probability & cards,Cold start → warm start: open your probability & cards strong
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",truth/lie logic,Close strong: how to end truth/lie logic with conviction
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",lateral thinking,How to structure answers for lateral thinking
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",invariant & parity tricks,Spot the invariant: invariant & parity tricks
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",estimation & Fermi problems,Reduce search space in estimation & Fermi problems
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",pattern & sequence puzzles,Explain assumptions clearly in pattern & sequence puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",tricky interview riddles,Practice cadence & warmups for tricky interview riddles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",classic weighing puzzles,classic weighing puzzles in 60 seconds — what interviewers really look for
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",hat & prisoner puzzles,Stop winging it: battle-tested patterns for hat & prisoner puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",river crossing puzzles,Top 7 mistakes in river crossing puzzles (and quick fixes)
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",probability & cards,From confused to confident: how to prep probability & cards
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",truth/lie logic,Whiteboard → offer: ship truth/lie logic with guardrails
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",lateral thinking,Interview-ready: 5 bullets that explain lateral thinking
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",invariant & parity tricks,Explain like I’m 5: invariant & parity tricks without jargon
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",estimation & Fermi problems,What senior interviewers evaluate in estimation & Fermi problems
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",pattern & sequence puzzles,Mock-interview debrief: the truth about pattern & sequence puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",tricky interview riddles,Red flags & green flags I’ve seen in tricky interview riddles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",classic weighing puzzles,"Psychology of classic weighing puzzles: framing, tempo, control"
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",hat & prisoner puzzles,Timeboxing & structure: ace hat & prisoner puzzles under pressure
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",river crossing puzzles,Proof of impact: quantify your river crossing puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",probability & cards,Checklist before D-day: probability & cards
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",truth/lie logic,Honest prep: how to practice truth/lie logic daily
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",lateral thinking,Pattern library you’ll reuse for lateral thinking all year
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",invariant & parity tricks,India-first prep tips: invariant & parity tricks
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",estimation & Fermi problems,Common myths about estimation & Fermi problems — busted
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",pattern & sequence puzzles,Cold start → warm start: open your pattern & sequence puzzles strong
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",tricky interview riddles,Close strong: how to end tricky interview riddles with conviction
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",classic weighing puzzles,How to structure answers for classic weighing puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",hat & prisoner puzzles,Spot the invariant: hat & prisoner puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",river crossing puzzles,Reduce search space in river crossing puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",probability & cards,Explain assumptions clearly in probability & cards
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",truth/lie logic,Practice cadence & warmups for truth/lie logic
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",lateral thinking,lateral thinking in 60 seconds — what interviewers really look for
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",invariant & parity tricks,Stop winging it: battle-tested patterns for invariant & parity tricks
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",estimation & Fermi problems,Top 7 mistakes in estimation & Fermi problems (and quick fixes)
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",pattern & sequence puzzles,From confused to confident: how to prep pattern & sequence puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",tricky interview riddles,Whiteboard → offer: ship tricky interview riddles with guardrails
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",classic weighing puzzles,Interview-ready: 5 bullets that explain classic weighing puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",hat & prisoner puzzles,Explain like I’m 5: hat & prisoner puzzles without jargon
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",river crossing puzzles,What senior interviewers evaluate in river crossing puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",probability & cards,Mock-interview debrief: the truth about probability & cards
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",truth/lie logic,Red flags & green flags I’ve seen in truth/lie logic
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",lateral thinking,"Psychology of lateral thinking: framing, tempo, control"
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",invariant & parity tricks,Timeboxing & structure: ace invariant & parity tricks under pressure
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",estimation & Fermi problems,Proof of impact: quantify your estimation & Fermi problems
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",pattern & sequence puzzles,Checklist before D-day: pattern & sequence puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",tricky interview riddles,Honest prep: how to practice tricky interview riddles daily
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",classic weighing puzzles,Pattern library you’ll reuse for classic weighing puzzles all year
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",hat & prisoner puzzles,India-first prep tips: hat & prisoner puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",river crossing puzzles,Common myths about river crossing puzzles — busted
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",probability & cards,Cold start → warm start: open your probability & cards strong
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",truth/lie logic,Close strong: how to end truth/lie logic with conviction
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",lateral thinking,How to structure answers for lateral thinking
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",invariant & parity tricks,Spot the invariant: invariant & parity tricks
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",estimation & Fermi problems,Reduce search space in estimation & Fermi problems
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",pattern & sequence puzzles,Explain assumptions clearly in pattern & sequence puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",tricky interview riddles,Practice cadence & warmups for tricky interview riddles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",classic weighing puzzles,classic weighing puzzles in 60 seconds — what interviewers really look for
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",hat & prisoner puzzles,Stop winging it: battle-tested patterns for hat & prisoner puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",river crossing puzzles,Top 7 mistakes in river crossing puzzles (and quick fixes)
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",probability & cards,From confused to confident: how to prep probability & cards
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",truth/lie logic,Whiteboard → offer: ship truth/lie logic with guardrails
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",lateral thinking,Interview-ready: 5 bullets that explain lateral thinking
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",invariant & parity tricks,Explain like I’m 5: invariant & parity tricks without jargon
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",estimation & Fermi problems,What senior interviewers evaluate in estimation & Fermi problems
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",pattern & sequence puzzles,Mock-interview debrief: the truth about pattern & sequence puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",tricky interview riddles,Red flags & green flags I’ve seen in tricky interview riddles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",classic weighing puzzles,"Psychology of classic weighing puzzles: framing, tempo, control"
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",hat & prisoner puzzles,Timeboxing & structure: ace hat & prisoner puzzles under pressure
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",river crossing puzzles,Proof of impact: quantify your river crossing puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",probability & cards,Checklist before D-day: probability & cards
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",truth/lie logic,Honest prep: how to practice truth/lie logic daily
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",lateral thinking,Pattern library you’ll reuse for lateral thinking all year
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",invariant & parity tricks,India-first prep tips: invariant & parity tricks
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",estimation & Fermi problems,Common myths about estimation & Fermi problems — busted
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",pattern & sequence puzzles,Cold start → warm start: open your pattern & sequence puzzles strong
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",tricky interview riddles,Close strong: how to end tricky interview riddles with conviction
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",classic weighing puzzles,How to structure answers for classic weighing puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",hat & prisoner puzzles,Spot the invariant: hat & prisoner puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",river crossing puzzles,Reduce search space in river crossing puzzles
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",probability & cards,Explain assumptions clearly in probability & cards
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",truth/lie logic,Practice cadence & warmups for truth/lie logic
Interview Preparation,"Interview — Puzzles, Brainteasers & Logical Reasoning",lateral thinking,lateral thinking in 60 seconds — what interviewers really look for
