pillar,category,seed,title
DSA,DSA — Greedy & Intervals,Activity selection,Why proofs matter: exchange argument for Activity selection
DSA,DSA — Greedy & Intervals,Interval partitioning,Counterexamples: when Interval partitioning fails
DSA,DSA — Greedy & Intervals,Merge intervals,Greedy + heap combo patterns for Merge intervals
DSA,DSA — Greedy & Intervals,Minimum platforms,Intervals visualization grid for Minimum platforms
DSA,DSA — Greedy & Intervals,Gas station,Edge cases: overlaps/equals in Gas station
DSA,DSA — Greedy & Intervals,Huffman coding,Why Huffman coding scares 90% of interviewees (and how to master it)
DSA,DSA — Greedy & Intervals,Scheduling with deadlines,Scheduling with deadlines in 60 seconds — intuition first
DSA,DSA — Greedy & Intervals,Fractional vs 0/1 knapsack (contrast),Stop brute forcing: spot the Fractional vs 0/1 knapsack (contrast) trigger words
DSA,DSA — Greedy & Intervals,Exchange argument,Exchange argument vs brute force — when to switch and why
DSA,DSA — Greedy & Intervals,Jump game family,Top 7 mistakes in Jump game family that cost offers
DSA,DSA — Greedy & Intervals,Candy/ratings,From O(N^2) → O(N): optimize your Candy/ratings
DSA,DSA — Greedy & Intervals,Monotone queues for extrema,"Monotone queues for extrema for beginners: visuals, patterns, pitfalls"
DSA,DSA — Greedy & Intervals,Activity selection,Think like an interviewer: how I grade your Activity selection
DSA,DSA — Greedy & Intervals,Interval partitioning,Whiteboard to code: Interval partitioning with edge cases
DSA,DSA — Greedy & Intervals,Merge intervals,You don’t need to memorize — template for Merge intervals
DSA,DSA — Greedy & Intervals,Minimum platforms,"Minimum platforms cheat sheet: patterns, templates, tests"
DSA,DSA — Greedy & Intervals,Gas station,Interview day checklist for Gas station
DSA,DSA — Greedy & Intervals,Huffman coding,Draw this first: diagram that unlocks Huffman coding
DSA,DSA — Greedy & Intervals,Scheduling with deadlines,The ‘aha!’ intuition behind Scheduling with deadlines
DSA,DSA — Greedy & Intervals,Fractional vs 0/1 knapsack (contrast),Hidden constraints that break Fractional vs 0/1 knapsack (contrast)
DSA,DSA — Greedy & Intervals,Exchange argument,Dry run like a pro: Exchange argument on real inputs
DSA,DSA — Greedy & Intervals,Jump game family,"Refactor a messy Jump game family into clean, fast code"
DSA,DSA — Greedy & Intervals,Candy/ratings,Space vs time in Candy/ratings: what to trade off
DSA,DSA — Greedy & Intervals,Monotone queues for extrema,Edge cases that break 8/10 Monotone queues for extrema submissions
DSA,DSA — Greedy & Intervals,Activity selection,Prove correctness for Activity selection in plain English
DSA,DSA — Greedy & Intervals,Interval partitioning,Phone screen vs onsite: Interval partitioning differences
DSA,DSA — Greedy & Intervals,Merge intervals,Speedrun Merge intervals: archetypes you must know
DSA,DSA — Greedy & Intervals,Minimum platforms,Complexity showdown: naive vs optimal Minimum platforms
DSA,DSA — Greedy & Intervals,Gas station,Debugging live: fix a broken Gas station solution
DSA,DSA — Greedy & Intervals,Huffman coding,"Off-by-one, bounds, and overflow in Huffman coding"
DSA,DSA — Greedy & Intervals,Scheduling with deadlines,Simplify before you optimize: Scheduling with deadlines
DSA,DSA — Greedy & Intervals,Fractional vs 0/1 knapsack (contrast),"Mock interview: one Fractional vs 0/1 knapsack (contrast) problem, full process"
DSA,DSA — Greedy & Intervals,Exchange argument,Unit tests that catch subtle Exchange argument bugs
DSA,DSA — Greedy & Intervals,Jump game family,When to use hash maps / sets with Jump game family
DSA,DSA — Greedy & Intervals,Candy/ratings,Why your Candy/ratings TLEs at scale — and how to fix it
DSA,DSA — Greedy & Intervals,Monotone queues for extrema,Read the prompt: keywords that scream Monotone queues for extrema
DSA,DSA — Greedy & Intervals,Activity selection,Back-of-the-envelope complexity for Activity selection
DSA,DSA — Greedy & Intervals,Interval partitioning,One trick that simplifies most Interval partitioning questions
DSA,DSA — Greedy & Intervals,Merge intervals,Stop re-deriving! Reusable template for Merge intervals
DSA,DSA — Greedy & Intervals,Minimum platforms,Edge vs corner cases — Minimum platforms edition
DSA,DSA — Greedy & Intervals,Gas station,Checklist before coding Gas station
DSA,DSA — Greedy & Intervals,Huffman coding,Why proofs matter: exchange argument for Huffman coding
DSA,DSA — Greedy & Intervals,Scheduling with deadlines,Counterexamples: when Scheduling with deadlines fails
DSA,DSA — Greedy & Intervals,Fractional vs 0/1 knapsack (contrast),Greedy + heap combo patterns for Fractional vs 0/1 knapsack (contrast)
DSA,DSA — Greedy & Intervals,Exchange argument,Intervals visualization grid for Exchange argument
DSA,DSA — Greedy & Intervals,Jump game family,Edge cases: overlaps/equals in Jump game family
DSA,DSA — Greedy & Intervals,Candy/ratings,Why Candy/ratings scares 90% of interviewees (and how to master it)
DSA,DSA — Greedy & Intervals,Monotone queues for extrema,Monotone queues for extrema in 60 seconds — intuition first
DSA,DSA — Greedy & Intervals,Activity selection,Stop brute forcing: spot the Activity selection trigger words
DSA,DSA — Greedy & Intervals,Interval partitioning,Interval partitioning vs brute force — when to switch and why
DSA,DSA — Greedy & Intervals,Merge intervals,Top 7 mistakes in Merge intervals that cost offers
