pillar,category,seed,title
APIs & Backend,Backend — Service Design & Scalability,monolith vs microservices,Why every Indian startup runs on APIs (and how they scale) — monolith vs microservices edition
APIs & Backend,Backend — Service Design & Scalability,bounded contexts,"bounded contexts in 60 seconds — intuition first, headers/bytes later"
APIs & Backend,Backend — Service Design & Scalability,CQRS/event sourcing,Stop building slow endpoints: CQRS/event sourcing patterns that actually scale
APIs & Backend,Backend — Service Design & Scalability,idempotent workflows,idempotent workflows vs brute integrations — when to switch and why
APIs & Backend,Backend — Service Design & Scalability,multitenancy & tenant isolation,Top 7 mistakes in multitenancy & tenant isolation that cost outages
APIs & Backend,Backend — Service Design & Scalability,schema & contract evolution,"From flaky to reliable: retries, idempotency, timeouts for schema & contract evolution"
APIs & Backend,Backend — Service Design & Scalability,data ownership & anti-corruption,The mental model that unlocks data ownership & anti-corruption
APIs & Backend,Backend — Service Design & Scalability,outbox pattern,Whiteboard to prod: shipping outbox pattern with guardrails
APIs & Backend,Backend — Service Design & Scalability,read models & denormalization,Interview day checklist: read models & denormalization in 5 bullets
APIs & Backend,Backend — Service Design & Scalability,distributed locks,Explain like I’m 5: distributed locks without jargon
APIs & Backend,Backend — Service Design & Scalability,graceful degradation,"Observability-first graceful degradation: logs, metrics, traces"
APIs & Backend,Backend — Service Design & Scalability,monolith vs microservices,Cost-aware monolith vs microservices: make it fast without burning cloud spend
APIs & Backend,Backend — Service Design & Scalability,bounded contexts,Do’s & don’ts: clean APIs around bounded contexts
APIs & Backend,Backend — Service Design & Scalability,CQRS/event sourcing,Backpressure and rate limits: taming spiky traffic in CQRS/event sourcing
APIs & Backend,Backend — Service Design & Scalability,idempotent workflows,API versioning & compatibility: zero-downtime decisions for idempotent workflows
APIs & Backend,Backend — Service Design & Scalability,multitenancy & tenant isolation,N+1 killers: caching & pagination patterns for multitenancy & tenant isolation
APIs & Backend,Backend — Service Design & Scalability,schema & contract evolution,SLOs & SLAs: promise what you can keep with schema & contract evolution
APIs & Backend,Backend — Service Design & Scalability,data ownership & anti-corruption,Blueprint: load test & stage rollouts for data ownership & anti-corruption
APIs & Backend,Backend — Service Design & Scalability,outbox pattern,Security checklist before launch: outbox pattern
APIs & Backend,Backend — Service Design & Scalability,read models & denormalization,Postmortem 101: learning from incidents in read models & denormalization
APIs & Backend,Backend — Service Design & Scalability,distributed locks,Why every Indian startup runs on APIs (and how they scale) — distributed locks edition
