pillar,category,seed,title
APIs & Backend,APIs — Auth & Security,OAuth2/OIDC basics,Why every Indian startup runs on APIs (and how they scale) — OAuth2/OIDC basics edition
APIs & Backend,APIs — Auth & Security,PKCE & SPA flows,"PKCE & SPA flows in 60 seconds — intuition first, headers/bytes later"
APIs & Backend,APIs — Auth & Security,JWT vs opaque tokens,Stop building slow endpoints: JWT vs opaque tokens patterns that actually scale
APIs & Backend,APIs — Auth & Security,scopes & permissions,scopes & permissions vs brute integrations — when to switch and why
APIs & Backend,APIs — Auth & Security,mTLS & mutual auth,Top 7 mistakes in mTLS & mutual auth that cost outages
APIs & Backend,APIs — Auth & Security,API keys rotation,"From flaky to reliable: retries, idempotency, timeouts for API keys rotation"
APIs & Backend,APIs — Auth & Security,HMAC signatures & webhooks,The mental model that unlocks HMAC signatures & webhooks
APIs & Backend,APIs — Auth & Security,RBAC/ABAC,Whiteboard to prod: shipping RBAC/ABAC with guardrails
APIs & Backend,APIs — Auth & Security,secrets management,Interview day checklist: secrets management in 5 bullets
APIs & Backend,APIs — Auth & Security,OWASP API Top 10,Explain like I’m 5: OWASP API Top 10 without jargon
APIs & Backend,APIs — Auth & Security,rate limiting for abuse,"Observability-first rate limiting for abuse: logs, metrics, traces"
APIs & Backend,APIs — Auth & Security,OAuth2/OIDC basics,Cost-aware OAuth2/OIDC basics: make it fast without burning cloud spend
APIs & Backend,APIs — Auth & Security,PKCE & SPA flows,Do’s & don’ts: clean APIs around PKCE & SPA flows
APIs & Backend,APIs — Auth & Security,JWT vs opaque tokens,Backpressure and rate limits: taming spiky traffic in JWT vs opaque tokens
APIs & Backend,APIs — Auth & Security,scopes & permissions,API versioning & compatibility: zero-downtime decisions for scopes & permissions
APIs & Backend,APIs — Auth & Security,mTLS & mutual auth,N+1 killers: caching & pagination patterns for mTLS & mutual auth
APIs & Backend,APIs — Auth & Security,API keys rotation,SLOs & SLAs: promise what you can keep with API keys rotation
APIs & Backend,APIs — Auth & Security,HMAC signatures & webhooks,Blueprint: load test & stage rollouts for HMAC signatures & webhooks
APIs & Backend,APIs — Auth & Security,RBAC/ABAC,Security checklist before launch: RBAC/ABAC
APIs & Backend,APIs — Auth & Security,secrets management,Postmortem 101: learning from incidents in secrets management
APIs & Backend,APIs — Auth & Security,OWASP API Top 10,Why every Indian startup runs on APIs (and how they scale) — OWASP API Top 10 edition
APIs & Backend,APIs — Auth & Security,rate limiting for abuse,"rate limiting for abuse in 60 seconds — intuition first, headers/bytes later"
APIs & Backend,APIs — Auth & Security,OAuth2/OIDC basics,Stop building slow endpoints: OAuth2/OIDC basics patterns that actually scale
APIs & Backend,APIs — Auth & Security,PKCE & SPA flows,PKCE & SPA flows vs brute integrations — when to switch and why
APIs & Backend,APIs — Auth & Security,JWT vs opaque tokens,Top 7 mistakes in JWT vs opaque tokens that cost outages
APIs & Backend,APIs — Auth & Security,scopes & permissions,"From flaky to reliable: retries, idempotency, timeouts for scopes & permissions"
APIs & Backend,APIs — Auth & Security,mTLS & mutual auth,The mental model that unlocks mTLS & mutual auth
APIs & Backend,APIs — Auth & Security,API keys rotation,Whiteboard to prod: shipping API keys rotation with guardrails
APIs & Backend,APIs — Auth & Security,HMAC signatures & webhooks,Interview day checklist: HMAC signatures & webhooks in 5 bullets
