pillar,category,seed,title
Programming,Python,syntax & idioms,Why Python is still king for Indian interviews 👑
Programming,Python,lists/dicts/sets/tuples,How Python makes coding rounds 2x faster — patterns you’ll reuse
Programming,Python,list/dict comprehensions,Python in 60 seconds: the only list/dict comprehensions intuition you need
Programming,Python,iterators & generators,"iterators & generators in Python — stop brute forcing, write idiomatic code"
Programming,Python,OOP & dataclasses,Python OOP & dataclasses: top 7 mistakes that cost offers in India
Programming,Python,typing & mypy,From messy to clean: refactor your Python typing & mypy live
Programming,Python,exceptions & context managers,Interview day checklist: Python exceptions & context managers in 5 bullets
Programming,Python,files & pathlib,Whiteboard to code: Python files & pathlib with edge cases
Programming,Python,asyncio vs threads vs multiprocessing,Explain it like I’m 5: Python asyncio vs threads vs multiprocessing without jargon
Programming,Python,GIL — what actually matters,Speedrun Python GIL — what actually matters: archetypes you must know
Programming,Python,profiling & optimization,You’re overcomplicating it — simplify your Python profiling & optimization
Programming,Python,standard library power moves,Performance 101: make Python standard library power moves 10x faster (no hacks)
Programming,Python,pytest & fixtures,Memory vs speed: tradeoffs in Python pytest & fixtures
Programming,Python,packaging: pip/poetry,Idiomatic Python: do’s & don’ts for packaging: pip/poetry
Programming,Python,logging & debugging,Debugging live: fix a broken Python logging & debugging solution
Programming,Python,syntax & idioms,Unit tests that catch subtle bugs in Python syntax & idioms
Programming,Python,lists/dicts/sets/tuples,Python lists/dicts/sets/tuples cheat sheet — templates + pitfalls
Programming,Python,list/dict comprehensions,Phone screen vs onsite: how Python list/dict comprehensions questions differ
Programming,Python,iterators & generators,Narrate your thinking: explain Python iterators & generators like a pro
Programming,Python,OOP & dataclasses,Before you code: 4 questions for any Python OOP & dataclasses
Programming,Python,typing & mypy,From DSA to dev: where Python typing & mypy shows up in real systems
Programming,Python,exceptions & context managers,Edge cases that break 8/10 Python exceptions & context managers submissions
Programming,Python,files & pathlib,Back-of-the-envelope complexity: Python files & pathlib
Programming,Python,asyncio vs threads vs multiprocessing,Code smells in Python asyncio vs threads vs multiprocessing — and quick fixes
Programming,Python,GIL — what actually matters,Template showdown: clean APIs for Python GIL — what actually matters
Programming,Python,profiling & optimization,Interview kata: daily reps for Python profiling & optimization
Programming,Python,standard library power moves,Crash course: Python standard library power moves in 5 minutes
Programming,Python,pytest & fixtures,Top 5 questions around Python pytest & fixtures this year
Programming,Python,packaging: pip/poetry,From CP to interviews: map packaging: pip/poetry to idiomatic Python
Programming,Python,logging & debugging,Prove it: correctness for Python logging & debugging (plain English)
Programming,Python,syntax & idioms,When not to use Python features for syntax & idioms (and what instead)
Programming,Python,lists/dicts/sets/tuples,Why Python is still king for Indian interviews 👑
Programming,Python,list/dict comprehensions,How Python makes coding rounds 2x faster — patterns you’ll reuse
Programming,Python,iterators & generators,Python in 60 seconds: the only iterators & generators intuition you need
Programming,Python,OOP & dataclasses,"OOP & dataclasses in Python — stop brute forcing, write idiomatic code"
Programming,Python,typing & mypy,Python typing & mypy: top 7 mistakes that cost offers in India
Programming,Python,exceptions & context managers,From messy to clean: refactor your Python exceptions & context managers live
Programming,Python,files & pathlib,Interview day checklist: Python files & pathlib in 5 bullets
Programming,Python,asyncio vs threads vs multiprocessing,Whiteboard to code: Python asyncio vs threads vs multiprocessing with edge cases
Programming,Python,GIL — what actually matters,Explain it like I’m 5: Python GIL — what actually matters without jargon
Programming,Python,profiling & optimization,Speedrun Python profiling & optimization: archetypes you must know
