pillar,category,seed,title
Interview Preparation,Interview — Offer Negotiation & Career Strategy,offer components (CTC/RSU/bonus),Scripts for offer components (CTC/RSU/bonus)
Interview Preparation,Interview — Offer Negotiation & Career Strategy,benchmarking & ranges,What’s negotiable vs not in benchmarking & ranges
Interview Preparation,Interview — Offer Negotiation & Career Strategy,counter offers & timing,Don’ts that burn bridges in counter offers & timing
Interview Preparation,Interview — Offer Negotiation & Career Strategy,multiple offers juggling,India market realities for multiple offers juggling
Interview Preparation,Interview — Offer Negotiation & Career Strategy,sign-on vs base tradeoffs,Long game: 3-year plan via sign-on vs base tradeoffs
Interview Preparation,Interview — Offer Negotiation & Career Strategy,joining bonus clawbacks,joining bonus clawbacks in 60 seconds — what interviewers really look for
Interview Preparation,Interview — Offer Negotiation & Career Strategy,notice periods & buyouts,Stop winging it: battle-tested patterns for notice periods & buyouts
Interview Preparation,Interview — Offer Negotiation & Career Strategy,remote vs onsite calculus,Top 7 mistakes in remote vs onsite calculus (and quick fixes)
Interview Preparation,Interview — Offer Negotiation & Career Strategy,job change timing,From confused to confident: how to prep job change timing
Interview Preparation,Interview — Offer Negotiation & Career Strategy,career narrative & positioning,Whiteboard → offer: ship career narrative & positioning with guardrails
Interview Preparation,Interview — Offer Negotiation & Career Strategy,offer components (CTC/RSU/bonus),Interview-ready: 5 bullets that explain offer components (CTC/RSU/bonus)
Interview Preparation,Interview — Offer Negotiation & Career Strategy,benchmarking & ranges,Explain like I’m 5: benchmarking & ranges without jargon
Interview Preparation,Interview — Offer Negotiation & Career Strategy,counter offers & timing,What senior interviewers evaluate in counter offers & timing
Interview Preparation,Interview — Offer Negotiation & Career Strategy,multiple offers juggling,Mock-interview debrief: the truth about multiple offers juggling
Interview Preparation,Interview — Offer Negotiation & Career Strategy,sign-on vs base tradeoffs,Red flags & green flags I’ve seen in sign-on vs base tradeoffs
Interview Preparation,Interview — Offer Negotiation & Career Strategy,joining bonus clawbacks,"Psychology of joining bonus clawbacks: framing, tempo, control"
Interview Preparation,Interview — Offer Negotiation & Career Strategy,notice periods & buyouts,Timeboxing & structure: ace notice periods & buyouts under pressure
Interview Preparation,Interview — Offer Negotiation & Career Strategy,remote vs onsite calculus,Proof of impact: quantify your remote vs onsite calculus
Interview Preparation,Interview — Offer Negotiation & Career Strategy,job change timing,Checklist before D-day: job change timing
Interview Preparation,Interview — Offer Negotiation & Career Strategy,career narrative & positioning,Honest prep: how to practice career narrative & positioning daily
Interview Preparation,Interview — Offer Negotiation & Career Strategy,offer components (CTC/RSU/bonus),Pattern library you’ll reuse for offer components (CTC/RSU/bonus) all year
Interview Preparation,Interview — Offer Negotiation & Career Strategy,benchmarking & ranges,India-first prep tips: benchmarking & ranges
