pillar,category,seed,title
Frontend & UI/UX,Frontend — Web Performance & PWAs,Core Web Vitals (LCP/CLS/INP),Perf budgets for Core Web Vitals (LCP/CLS/INP)
Frontend & UI/UX,Frontend — Web Performance & PWAs,lazy loading images & scripts,Real-user monitoring (RUM) for lazy loading images & scripts
Frontend & UI/UX,Frontend — Web Performance & PWAs,code splitting & preloading,Profiling with DevTools around code splitting & preloading
Frontend & UI/UX,Frontend — Web Performance & PWAs,HTTP/2 & HTTP/3 for frontend,Edge caching & CDNs for HTTP/2 & HTTP/3 for frontend
Frontend & UI/UX,Frontend — Web Performance & PWAs,Service Workers & caching,Instant UX wins checklist for Service Workers & caching
Frontend & UI/UX,Frontend — Web Performance & PWAs,offline-first patterns,"offline-first patterns in 60 seconds — intuition first, code second"
Frontend & UI/UX,Frontend — Web Performance & PWAs,push notifications UX,Stop guessing: battle-tested patterns for push notifications UX
Frontend & UI/UX,Frontend — Web Performance & PWAs,resource hints (preload/prefetch),From messy to clean: refactor your resource hints (preload/prefetch) live
Frontend & UI/UX,Frontend — Web Performance & PWAs,image formats (AVIF/WebP),Top 7 mistakes in image formats (AVIF/WebP) (and quick fixes)
Frontend & UI/UX,Frontend — Web Performance & PWAs,font loading strategies,Whiteboard → code: ship font loading strategies with guardrails
Frontend & UI/UX,Frontend — Web Performance & PWAs,Core Web Vitals (LCP/CLS/INP),Interview-ready: 5 bullets that explain Core Web Vitals (LCP/CLS/INP)
Frontend & UI/UX,Frontend — Web Performance & PWAs,lazy loading images & scripts,Explain like I’m 5: lazy loading images & scripts without jargon
Frontend & UI/UX,Frontend — Web Performance & PWAs,code splitting & preloading,When to pick A vs B inside code splitting & preloading
Frontend & UI/UX,Frontend — Web Performance & PWAs,HTTP/2 & HTTP/3 for frontend,Debugging live: fix a broken HTTP/2 & HTTP/3 for frontend in minutes
Frontend & UI/UX,Frontend — Web Performance & PWAs,Service Workers & caching,Templates you’ll reuse for Service Workers & caching all year
