pillar,category,seed,title
HLD/LLD Scenarios (India),HLD,Aadhaar eKYC,"Give me 10 seconds—HLD: During Diwali rush, how would Aadhaar eKYC stay under 200 ms end‑to‑end?"
HLD/LLD Scenarios (India),HLD,Aadhaar eKYC,"HLD: Aadhaar eKYC on Big‑Sale days (autoscale, cache, canary) — India playbook."
HLD/LLD Scenarios (India),HLD,Aadhaar eKYC,"HLD: Abuse & bot defense for Aadhaar eKYC — rate limits, device fingerprinting."
HLD/LLD Scenarios (India),HLD,Aadhaar eKYC,HLD: CDN & edge caching plan for Aadhaar eKYC across India.
HLD/LLD Scenarios (India),HLD,Aadhaar eKYC,HLD: Data sharding & hot‑key mitigation strategies for Aadhaar eKYC.
HLD/LLD Scenarios (India),HLD,Aadhaar eKYC,"HLD: Event‑driven Aadhaar eKYC — streams, CDC, retries, DLQs."
HLD/LLD Scenarios (India),HLD,Aadhaar eKYC,HLD: How should Aadhaar eKYC handle IPL final traffic without buffering?
HLD/LLD Scenarios (India),HLD,Aadhaar eKYC,HLD: Multi‑region & multi‑AZ setup for Aadhaar eKYC with RTO/RPO targets.
HLD/LLD Scenarios (India),HLD,Aadhaar eKYC,"HLD: Payments at Aadhaar eKYC — UPI‑first, idempotency & reconciliation."
HLD/LLD Scenarios (India),HLD,Aadhaar eKYC,"HLD: Real‑time updates in Aadhaar eKYC — websockets/SSE, fan‑out, backpressure."
HLD/LLD Scenarios (India),HLD,Aadhaar eKYC,"HLD: Search, autocomplete & vernacular support for Aadhaar eKYC under 100 ms."
HLD/LLD Scenarios (India),LLD,Aadhaar eKYC,Give me 10 seconds—LLD: API contracts & versioning for Aadhaar eKYC (mobile‑first).
HLD/LLD Scenarios (India),LLD,Aadhaar eKYC,"LLD: Background jobs & schedulers that power Aadhaar eKYC (cron, queues)."
HLD/LLD Scenarios (India),LLD,Aadhaar eKYC,LLD: Caching layers & TTL/invalidation plan for Aadhaar eKYC.
HLD/LLD Scenarios (India),LLD,Aadhaar eKYC,LLD: Idempotency keys & safe retries inside Aadhaar eKYC (UPI/OTP flows).
HLD/LLD Scenarios (India),LLD,Aadhaar eKYC,LLD: Localization & i18n in Aadhaar eKYC — Hinglish & Indic languages.
HLD/LLD Scenarios (India),LLD,Aadhaar eKYC,"LLD: Observability blueprint for Aadhaar eKYC: logs, metrics, traces."
HLD/LLD Scenarios (India),LLD,Aadhaar eKYC,LLD: Offline‑first & flaky‑network UX for Aadhaar eKYC (3G/patchy Wi‑Fi).
HLD/LLD Scenarios (India),LLD,Aadhaar eKYC,LLD: Schema & indexing for Aadhaar eKYC hot paths (p95 < 50 ms).
HLD/LLD Scenarios (India),LLD,Aadhaar eKYC,"LLD: Webhooks for Aadhaar eKYC — signatures, replay protection, retries."
HLD/LLD Scenarios (India),HLD,Ajio,"Give me 10 seconds—HLD: During Diwali rush, how would Ajio stay under 200 ms end‑to‑end?"
HLD/LLD Scenarios (India),HLD,Ajio,"HLD: Abuse & bot defense for Ajio — rate limits, device fingerprinting."
HLD/LLD Scenarios (India),HLD,Ajio,"HLD: Ajio on Big‑Sale days (autoscale, cache, canary) — India playbook."
HLD/LLD Scenarios (India),HLD,Ajio,HLD: CDN & edge caching plan for Ajio across India.
HLD/LLD Scenarios (India),HLD,Ajio,HLD: Data sharding & hot‑key mitigation strategies for Ajio.
HLD/LLD Scenarios (India),HLD,Ajio,"HLD: Event‑driven Ajio — streams, CDC, retries, DLQs."
HLD/LLD Scenarios (India),HLD,Ajio,HLD: How should Ajio handle IPL final traffic without buffering?
HLD/LLD Scenarios (India),HLD,Ajio,HLD: Multi‑region & multi‑AZ setup for Ajio with RTO/RPO targets.
HLD/LLD Scenarios (India),HLD,Ajio,"HLD: Payments at Ajio — UPI‑first, idempotency & reconciliation."
HLD/LLD Scenarios (India),HLD,Ajio,"HLD: Real‑time updates in Ajio — websockets/SSE, fan‑out, backpressure."
HLD/LLD Scenarios (India),HLD,Ajio,"HLD: Search, autocomplete & vernacular support for Ajio under 100 ms."
HLD/LLD Scenarios (India),LLD,Ajio,Give me 10 seconds—LLD: API contracts & versioning for Ajio (mobile‑first).
HLD/LLD Scenarios (India),LLD,Ajio,"LLD: Background jobs & schedulers that power Ajio (cron, queues)."
HLD/LLD Scenarios (India),LLD,Ajio,LLD: Caching layers & TTL/invalidation plan for Ajio.
HLD/LLD Scenarios (India),LLD,Ajio,LLD: Idempotency keys & safe retries inside Ajio (UPI/OTP flows).
HLD/LLD Scenarios (India),LLD,Ajio,LLD: Localization & i18n in Ajio — Hinglish & Indic languages.
HLD/LLD Scenarios (India),LLD,Ajio,"LLD: Observability blueprint for Ajio: logs, metrics, traces."
HLD/LLD Scenarios (India),LLD,Ajio,LLD: Offline‑first & flaky‑network UX for Ajio (3G/patchy Wi‑Fi).
HLD/LLD Scenarios (India),LLD,Ajio,LLD: Schema & indexing for Ajio hot paths (p95 < 50 ms).
HLD/LLD Scenarios (India),LLD,Ajio,"LLD: Webhooks for Ajio — signatures, replay protection, retries."
HLD/LLD Scenarios (India),HLD,Amazon India (Great Indian Festival),"Give me 10 seconds—HLD: During Diwali rush, how would Amazon India (Great Indian Festival) stay under 200 ms end‑to‑end?"
HLD/LLD Scenarios (India),HLD,Amazon India (Great Indian Festival),"HLD: Abuse & bot defense for Amazon India (Great Indian Festival) — rate limits, device fingerprinting."
