pillar,category,seed,title
DSA,DSA — Range Queries & Indexing,Prefix/suffix sums,When to choose Prefix/suffix sums over segment tree
DSA,DSA — Range Queries & Indexing,Difference arrays (Imos),Memory layouts: arrays & trees for Difference arrays (Imos)
DSA,DSA — Range Queries & Indexing,2D prefix sums,Idempotent vs non-idempotent ops in 2D prefix sums
DSA,DSA — Range Queries & Indexing,Sparse table (RMQ),Pitfalls: 0/1-indexing & ranges in Sparse table (RMQ)
DSA,DSA — Range Queries & Indexing,Fenwick/BIT,Template showdown: clean API for Fenwick/BIT
DSA,DSA — Range Queries & Indexing,Segment tree,Why Segment tree scares 90% of interviewees (and how to master it)
DSA,DSA — Range Queries & Indexing,Lazy propagation,Lazy propagation in 60 seconds — intuition first
DSA,DSA — Range Queries & Indexing,Segment tree beats (concept),Stop brute forcing: spot the Segment tree beats (concept) trigger words
DSA,DSA — Range Queries & Indexing,Merge sort tree,Merge sort tree vs brute force — when to switch and why
DSA,DSA — Range Queries & Indexing,Order statistic tree,Top 7 mistakes in Order statistic tree that cost offers
DSA,DSA — Range Queries & Indexing,Sqrt decomposition,From O(N^2) → O(N): optimize your Sqrt decomposition
DSA,DSA — Range Queries & Indexing,Mo’s algorithm,"Mo’s algorithm for beginners: visuals, patterns, pitfalls"
DSA,DSA — Range Queries & Indexing,Offline queries with updates,Think like an interviewer: how I grade your Offline queries with updates
DSA,DSA — Range Queries & Indexing,Range gcd/min/max,Whiteboard to code: Range gcd/min/max with edge cases
DSA,DSA — Range Queries & Indexing,K-frequent in range,You don’t need to memorize — template for K-frequent in range
DSA,DSA — Range Queries & Indexing,Prefix/suffix sums,"Prefix/suffix sums cheat sheet: patterns, templates, tests"
DSA,DSA — Range Queries & Indexing,Difference arrays (Imos),Interview day checklist for Difference arrays (Imos)
DSA,DSA — Range Queries & Indexing,2D prefix sums,Draw this first: diagram that unlocks 2D prefix sums
DSA,DSA — Range Queries & Indexing,Sparse table (RMQ),The ‘aha!’ intuition behind Sparse table (RMQ)
DSA,DSA — Range Queries & Indexing,Fenwick/BIT,Hidden constraints that break Fenwick/BIT
DSA,DSA — Range Queries & Indexing,Segment tree,Dry run like a pro: Segment tree on real inputs
DSA,DSA — Range Queries & Indexing,Lazy propagation,"Refactor a messy Lazy propagation into clean, fast code"
DSA,DSA — Range Queries & Indexing,Segment tree beats (concept),Space vs time in Segment tree beats (concept): what to trade off
DSA,DSA — Range Queries & Indexing,Merge sort tree,Edge cases that break 8/10 Merge sort tree submissions
DSA,DSA — Range Queries & Indexing,Order statistic tree,Prove correctness for Order statistic tree in plain English
