pillar,category,seed,title
Frontend & UI/UX,Frontend — Angular & RxJS,standalone components & modules,Error handling with Rx for standalone components & modules
Frontend & UI/UX,Frontend — Angular & RxJS,DI & providers,Component communication patterns in DI & providers
Frontend & UI/UX,Frontend — Angular & RxJS,change detection & zones,Performance profiling & CD in change detection & zones
Frontend & UI/UX,Frontend — Angular & RxJS,signals & OnPush (intro),Migrating legacy codebases with signals & OnPush (intro)
Frontend & UI/UX,Frontend — Angular & RxJS,RxJS observables & subjects,Testing strategies around RxJS observables & subjects
Frontend & UI/UX,Frontend — Angular & RxJS,async pipe & memory leaks,"async pipe & memory leaks in 60 seconds — intuition first, code second"
Frontend & UI/UX,Frontend — Angular & RxJS,forms: template vs reactive,Stop guessing: battle-tested patterns for forms: template vs reactive
Frontend & UI/UX,Frontend — Angular & RxJS,routing & guards,From messy to clean: refactor your routing & guards live
Frontend & UI/UX,Frontend — Angular & RxJS,pipes & directives,Top 7 mistakes in pipes & directives (and quick fixes)
Frontend & UI/UX,Frontend — Angular & RxJS,"state management (NgRx, Akita)","Whiteboard → code: ship state management (NgRx, Akita) with guardrails"
Frontend & UI/UX,Frontend — Angular & RxJS,standalone components & modules,Interview-ready: 5 bullets that explain standalone components & modules
Frontend & UI/UX,Frontend — Angular & RxJS,DI & providers,Explain like I’m 5: DI & providers without jargon
Frontend & UI/UX,Frontend — Angular & RxJS,change detection & zones,When to pick A vs B inside change detection & zones
Frontend & UI/UX,Frontend — Angular & RxJS,signals & OnPush (intro),Debugging live: fix a broken signals & OnPush (intro) in minutes
Frontend & UI/UX,Frontend — Angular & RxJS,RxJS observables & subjects,Templates you’ll reuse for RxJS observables & subjects all year
Frontend & UI/UX,Frontend — Angular & RxJS,async pipe & memory leaks,The mental model that unlocks async pipe & memory leaks
Frontend & UI/UX,Frontend — Angular & RxJS,forms: template vs reactive,Perf-first forms: template vs reactive: make it fast on low-end Android
Frontend & UI/UX,Frontend — Angular & RxJS,routing & guards,Accessibility-first routing & guards: include everyone
Frontend & UI/UX,Frontend — Angular & RxJS,pipes & directives,Cost-aware pipes & directives: speed without burning cloud spend
Frontend & UI/UX,Frontend — Angular & RxJS,"state management (NgRx, Akita)","Real incidents I’ve seen because of bad state management (NgRx, Akita)"
Frontend & UI/UX,Frontend — Angular & RxJS,standalone components & modules,Design reviews: what senior folks look for in standalone components & modules
Frontend & UI/UX,Frontend — Angular & RxJS,DI & providers,From junior to senior: how you talk about DI & providers
Frontend & UI/UX,Frontend — Angular & RxJS,change detection & zones,Before you code: 4 questions for any change detection & zones
Frontend & UI/UX,Frontend — Angular & RxJS,signals & OnPush (intro),Do’s & don’ts cheat sheet for signals & OnPush (intro)
Frontend & UI/UX,Frontend — Angular & RxJS,RxJS observables & subjects,UX wins: small tweaks in RxJS observables & subjects with huge impact
Frontend & UI/UX,Frontend — Angular & RxJS,async pipe & memory leaks,Platform tips: ship async pipe & memory leaks to Insta Reels/Shorts
Frontend & UI/UX,Frontend — Angular & RxJS,forms: template vs reactive,Error handling with Rx for forms: template vs reactive
Frontend & UI/UX,Frontend — Angular & RxJS,routing & guards,Component communication patterns in routing & guards
Frontend & UI/UX,Frontend — Angular & RxJS,pipes & directives,Performance profiling & CD in pipes & directives
Frontend & UI/UX,Frontend — Angular & RxJS,"state management (NgRx, Akita)","Migrating legacy codebases with state management (NgRx, Akita)"
