pillar,category,seed,title
Frontend & UI/UX,Frontend — React Core,React state management explained in 60s,Colocation strategy for React state management explained in 60s
Frontend & UI/UX,Frontend — React Core,useState & useReducer,State charts & reducers in useState & useReducer
Frontend & UI/UX,Frontend — React Core,useEffect (cleanup & timing),Derived state pitfalls in useEffect (cleanup & timing)
Frontend & UI/UX,Frontend — React Core,useMemo & useCallback,Form UX patterns that delight — useMemo & useCallback
Frontend & UI/UX,Frontend — React Core,controlled vs uncontrolled forms,Testing hooks & components around controlled vs uncontrolled forms
Frontend & UI/UX,Frontend — React Core,lists & keys (reconciliation),"lists & keys (reconciliation) in 60 seconds — intuition first, code second"
Frontend & UI/UX,Frontend — React Core,Context API (when & when not),Stop guessing: battle-tested patterns for Context API (when & when not)
Frontend & UI/UX,Frontend — React Core,component composition patterns,From messy to clean: refactor your component composition patterns live
Frontend & UI/UX,Frontend — React Core,prop drilling alternatives,Top 7 mistakes in prop drilling alternatives (and quick fixes)
Frontend & UI/UX,Frontend — React Core,error boundaries (intro),Whiteboard → code: ship error boundaries (intro) with guardrails
Frontend & UI/UX,Frontend — React Core,React state management explained in 60s,Interview-ready: 5 bullets that explain React state management explained in 60s
Frontend & UI/UX,Frontend — React Core,useState & useReducer,Explain like I’m 5: useState & useReducer without jargon
Frontend & UI/UX,Frontend — React Core,useEffect (cleanup & timing),When to pick A vs B inside useEffect (cleanup & timing)
Frontend & UI/UX,Frontend — React Core,useMemo & useCallback,Debugging live: fix a broken useMemo & useCallback in minutes
Frontend & UI/UX,Frontend — React Core,controlled vs uncontrolled forms,Templates you’ll reuse for controlled vs uncontrolled forms all year
Frontend & UI/UX,Frontend — React Core,lists & keys (reconciliation),The mental model that unlocks lists & keys (reconciliation)
Frontend & UI/UX,Frontend — React Core,Context API (when & when not),Perf-first Context API (when & when not): make it fast on low-end Android
Frontend & UI/UX,Frontend — React Core,component composition patterns,Accessibility-first component composition patterns: include everyone
Frontend & UI/UX,Frontend — React Core,prop drilling alternatives,Cost-aware prop drilling alternatives: speed without burning cloud spend
Frontend & UI/UX,Frontend — React Core,error boundaries (intro),Real incidents I’ve seen because of bad error boundaries (intro)
Frontend & UI/UX,Frontend — React Core,React state management explained in 60s,Design reviews: what senior folks look for in React state management explained in 60s
Frontend & UI/UX,Frontend — React Core,useState & useReducer,From junior to senior: how you talk about useState & useReducer
Frontend & UI/UX,Frontend — React Core,useEffect (cleanup & timing),Before you code: 4 questions for any useEffect (cleanup & timing)
Frontend & UI/UX,Frontend — React Core,useMemo & useCallback,Do’s & don’ts cheat sheet for useMemo & useCallback
Frontend & UI/UX,Frontend — React Core,controlled vs uncontrolled forms,UX wins: small tweaks in controlled vs uncontrolled forms with huge impact
Frontend & UI/UX,Frontend — React Core,lists & keys (reconciliation),Platform tips: ship lists & keys (reconciliation) to Insta Reels/Shorts
