pillar,category,seed,title
DSA,Data Structures & Algorithms,dsa-topic-pattern,Why Trees is the unsung hero of system design
DSA,Data Structures & Algorithms,dsa-topic-pattern,Interview hacks: when to use Disjoint Set Union over Arrays
DSA,Data Structures & Algorithms,dsa-topic-pattern,How to ace Fenwick Trees questions in coding rounds
DSA,Data Structures & Algorithms,dsa-topic-pattern,Why every coding contest is secretly about Backtracking
DSA,Data Structures & Algorithms,dsa-topic-pattern,Fenwick Trees vs Two Pointers: which one shows up more in interviews?
DSA,Data Structures & Algorithms,dsa-topic-pattern,Interview hacks: when to use Two Pointers over Greedy Algorithms
DSA,Data Structures & Algorithms,dsa-topic-pattern,How to solve any Fenwick Trees problem in under 10 minutes
DSA,Data Structures & Algorithms,dsa-topic-pattern,Trie visualized with Bollywood examples 🎬
DSA,Data Structures & Algorithms,dsa-topic-pattern,Why Indian students struggle with Disjoint Set Union (and how to fix it)
DSA,Data Structures & Algorithms,dsa-topic-pattern,Backtracking in coding interviews: what nobody tells you
DSA,Data Structures & Algorithms,dsa-topic-pattern,Bit Manipulation in coding interviews: what nobody tells you
DSA,Data Structures & Algorithms,dsa-topic-pattern,Why every coding contest is secretly about Sliding Window
DSA,Data Structures & Algorithms,dsa-topic-pattern,One problem that teaches you all of Bit Manipulation
DSA,Data Structures & Algorithms,dsa-topic-pattern,Why Indian students struggle with Hashing (and how to fix it)
DSA,Data Structures & Algorithms,dsa-topic-pattern,One problem that teaches you all of Heaps
DSA,Data Structures & Algorithms,dsa-topic-pattern,Why Indian students struggle with Trees (and how to fix it)
DSA,Data Structures & Algorithms,dsa-topic-pattern,How to solve any Trees problem in under 10 minutes
DSA,Data Structures & Algorithms,dsa-topic-pattern,Why every coding contest is secretly about Recursion
DSA,Data Structures & Algorithms,dsa-topic-pattern,The one Linked Lists trick that makes hard problems easy
DSA,Data Structures & Algorithms,dsa-topic-pattern,Dynamic explanation: Queues made ridiculously simple
DSA,Data Structures & Algorithms,dsa-topic-pattern,Stacks explained in 30 seconds — from basics to real life
DSA,Data Structures & Algorithms,dsa-topic-pattern,From zero to hero: mastering Trie in 7 days
DSA,Data Structures & Algorithms,dsa-topic-pattern,Recursion in coding interviews: what nobody tells you
DSA,Data Structures & Algorithms,dsa-topic-pattern,Explained with cricket: Binary Search Trees demystified 🏏
DSA,Data Structures & Algorithms,dsa-topic-pattern,Why mastering Trie is the secret to cracking FAANG interviews
DSA,Data Structures & Algorithms,dsa-topic-pattern,Explained with cricket: Dynamic Programming demystified 🏏
DSA,Data Structures & Algorithms,dsa-topic-pattern,Two Pointers explained in 30 seconds — from basics to real life
DSA,Data Structures & Algorithms,dsa-topic-pattern,Dynamic explanation: Graphs made ridiculously simple
