pillar,category,seed,title
Programming,Go,syntax & slices/maps,Why Go is still king for Indian interviews 👑
Programming,Go,interfaces (implicit),How Go makes coding rounds 2x faster — patterns you’ll reuse
Programming,Go,goroutines & channels,Go in 60 seconds: the only goroutines & channels intuition you need
Programming,Go,context cancellation,"context cancellation in Go — stop brute forcing, write idiomatic code"
Programming,Go,errors vs panics,Go errors vs panics: top 7 mistakes that cost offers in India
Programming,Go,testing & benchmarks,From messy to clean: refactor your Go testing & benchmarks live
Programming,Go,modules & workspaces,Interview day checklist: Go modules & workspaces in 5 bullets
Programming,Go,pprof & optimization,Whiteboard to code: Go pprof & optimization with edge cases
Programming,Go,http servers & handlers,Explain it like I’m 5: Go http servers & handlers without jargon
Programming,Go,generics (intro),Speedrun Go generics (intro): archetypes you must know
Programming,Go,concurrency patterns,You’re overcomplicating it — simplify your Go concurrency patterns
Programming,Go,syntax & slices/maps,Performance 101: make Go syntax & slices/maps 10x faster (no hacks)
Programming,Go,interfaces (implicit),Memory vs speed: tradeoffs in Go interfaces (implicit)
Programming,Go,goroutines & channels,Idiomatic Go: do’s & don’ts for goroutines & channels
Programming,Go,context cancellation,Debugging live: fix a broken Go context cancellation solution
Programming,Go,errors vs panics,Unit tests that catch subtle bugs in Go errors vs panics
Programming,Go,testing & benchmarks,Go testing & benchmarks cheat sheet — templates + pitfalls
Programming,Go,modules & workspaces,Phone screen vs onsite: how Go modules & workspaces questions differ
Programming,Go,pprof & optimization,Narrate your thinking: explain Go pprof & optimization like a pro
Programming,Go,http servers & handlers,Before you code: 4 questions for any Go http servers & handlers
Programming,Go,generics (intro),From DSA to dev: where Go generics (intro) shows up in real systems
Programming,Go,concurrency patterns,Edge cases that break 8/10 Go concurrency patterns submissions
Programming,Go,syntax & slices/maps,Back-of-the-envelope complexity: Go syntax & slices/maps
Programming,Go,interfaces (implicit),Code smells in Go interfaces (implicit) — and quick fixes
Programming,Go,goroutines & channels,Template showdown: clean APIs for Go goroutines & channels
Programming,Go,context cancellation,Interview kata: daily reps for Go context cancellation
Programming,Go,errors vs panics,Crash course: Go errors vs panics in 5 minutes
Programming,Go,testing & benchmarks,Top 5 questions around Go testing & benchmarks this year
Programming,Go,modules & workspaces,From CP to interviews: map modules & workspaces to idiomatic Go
Programming,Go,pprof & optimization,Prove it: correctness for Go pprof & optimization (plain English)
Programming,Go,http servers & handlers,When not to use Go features for http servers & handlers (and what instead)
Programming,Go,generics (intro),Why Go is still king for Indian interviews 👑
Programming,Go,concurrency patterns,How Go makes coding rounds 2x faster — patterns you’ll reuse
Programming,Go,syntax & slices/maps,Go in 60 seconds: the only syntax & slices/maps intuition you need
Programming,Go,interfaces (implicit),"interfaces (implicit) in Go — stop brute forcing, write idiomatic code"
Programming,Go,goroutines & channels,Go goroutines & channels: top 7 mistakes that cost offers in India
Programming,Go,context cancellation,From messy to clean: refactor your Go context cancellation live
Programming,Go,errors vs panics,Interview day checklist: Go errors vs panics in 5 bullets
Programming,Go,testing & benchmarks,Whiteboard to code: Go testing & benchmarks with edge cases
Programming,Go,modules & workspaces,Explain it like I’m 5: Go modules & workspaces without jargon
Programming,Go,pprof & optimization,Speedrun Go pprof & optimization: archetypes you must know
Programming,Go,http servers & handlers,You’re overcomplicating it — simplify your Go http servers & handlers
Programming,Go,generics (intro),Performance 101: make Go generics (intro) 10x faster (no hacks)
Programming,Go,concurrency patterns,Memory vs speed: tradeoffs in Go concurrency patterns
Programming,Go,syntax & slices/maps,Idiomatic Go: do’s & don’ts for syntax & slices/maps
Programming,Go,interfaces (implicit),Debugging live: fix a broken Go interfaces (implicit) solution
Programming,Go,goroutines & channels,Unit tests that catch subtle bugs in Go goroutines & channels
Programming,Go,context cancellation,Go context cancellation cheat sheet — templates + pitfalls
Programming,Go,errors vs panics,Phone screen vs onsite: how Go errors vs panics questions differ
Programming,Go,testing & benchmarks,Narrate your thinking: explain Go testing & benchmarks like a pro
Programming,Go,modules & workspaces,Before you code: 4 questions for any Go modules & workspaces
Programming,Go,pprof & optimization,From DSA to dev: where Go pprof & optimization shows up in real systems
Programming,Go,http servers & handlers,Edge cases that break 8/10 Go http servers & handlers submissions
Programming,Go,generics (intro),Back-of-the-envelope complexity: Go generics (intro)
Programming,Go,concurrency patterns,Code smells in Go concurrency patterns — and quick fixes
Programming,Go,syntax & slices/maps,Template showdown: clean APIs for Go syntax & slices/maps
Programming,Go,interfaces (implicit),Interview kata: daily reps for Go interfaces (implicit)
Programming,Go,goroutines & channels,Crash course: Go goroutines & channels in 5 minutes
Programming,Go,context cancellation,Top 5 questions around Go context cancellation this year
Programming,Go,errors vs panics,From CP to interviews: map errors vs panics to idiomatic Go
Programming,Go,testing & benchmarks,Prove it: correctness for Go testing & benchmarks (plain English)
Programming,Go,modules & workspaces,When not to use Go features for modules & workspaces (and what instead)
Programming,Go,pprof & optimization,Why Go is still king for Indian interviews 👑
Programming,Go,http servers & handlers,How Go makes coding rounds 2x faster — patterns you’ll reuse
Programming,Go,generics (intro),Go in 60 seconds: the only generics (intro) intuition you need
Programming,Go,concurrency patterns,"concurrency patterns in Go — stop brute forcing, write idiomatic code"
Programming,Go,syntax & slices/maps,Go syntax & slices/maps: top 7 mistakes that cost offers in India
Programming,Go,interfaces (implicit),From messy to clean: refactor your Go interfaces (implicit) live
Programming,Go,goroutines & channels,Interview day checklist: Go goroutines & channels in 5 bullets
Programming,Go,context cancellation,Whiteboard to code: Go context cancellation with edge cases
Programming,Go,errors vs panics,Explain it like I’m 5: Go errors vs panics without jargon
Programming,Go,testing & benchmarks,Speedrun Go testing & benchmarks: archetypes you must know
Programming,Go,modules & workspaces,You’re overcomplicating it — simplify your Go modules & workspaces
Programming,Go,pprof & optimization,Performance 101: make Go pprof & optimization 10x faster (no hacks)
Programming,Go,http servers & handlers,Memory vs speed: tradeoffs in Go http servers & handlers
Programming,Go,generics (intro),Idiomatic Go: do’s & don’ts for generics (intro)
Programming,Go,concurrency patterns,Debugging live: fix a broken Go concurrency patterns solution
Programming,Go,syntax & slices/maps,Unit tests that catch subtle bugs in Go syntax & slices/maps
Programming,Go,interfaces (implicit),Go interfaces (implicit) cheat sheet — templates + pitfalls
