pillar,category,seed,title
DSA,DSA — Strings Mastery,KMP (prefix function),Visualize borders & periods for KMP (prefix function)
DSA,DSA — Strings Mastery,Z-algorithm,When to choose Z-algorithm over hashing
DSA,DSA — Strings Mastery,Rabin–Karp (rolling hash),Pitfalls: modulo & collisions in Rabin–Karp (rolling hash)
DSA,DSA — Strings Mastery,Manacher (longest palindrome),Interview pattern map: substring vs subsequence via Manacher (longest palindrome)
DSA,DSA — Strings Mastery,Suffix Array,Real-world: dedup & plagiarism with Suffix Array
DSA,DSA — Strings Mastery,Suffix Automaton,Why Suffix Automaton scares 90% of interviewees (and how to master it)
DSA,DSA — Strings Mastery,Suffix Tree (Ukkonen),Suffix Tree (Ukkonen) in 60 seconds — intuition first
DSA,DSA — Strings Mastery,Aho–Corasick,Stop brute forcing: spot the Aho–Corasick trigger words
DSA,DSA — Strings Mastery,Trie (prefix tree),Trie (prefix tree) vs brute force — when to switch and why
DSA,DSA — Strings Mastery,Radix Tree (compressed trie),Top 7 mistakes in Radix Tree (compressed trie) that cost offers
DSA,DSA — Strings Mastery,Rolling hash (collisions & double hashing),From O(N^2) → O(N): optimize your Rolling hash (collisions & double hashing)
DSA,DSA — Strings Mastery,Edit distance (Levenshtein),"Edit distance (Levenshtein) for beginners: visuals, patterns, pitfalls"
DSA,DSA — Strings Mastery,Wildcard/regex-like matching,Think like an interviewer: how I grade your Wildcard/regex-like matching
DSA,DSA — Strings Mastery,Minimum window substring,Whiteboard to code: Minimum window substring with edge cases
DSA,DSA — Strings Mastery,Palindromic Tree (Eertree),You don’t need to memorize — template for Palindromic Tree (Eertree)
DSA,DSA — Strings Mastery,Burrows–Wheeler transform (concept),"Burrows–Wheeler transform (concept) cheat sheet: patterns, templates, tests"
DSA,DSA — Strings Mastery,KMP (prefix function),Interview day checklist for KMP (prefix function)
DSA,DSA — Strings Mastery,Z-algorithm,Draw this first: diagram that unlocks Z-algorithm
DSA,DSA — Strings Mastery,Rabin–Karp (rolling hash),The ‘aha!’ intuition behind Rabin–Karp (rolling hash)
DSA,DSA — Strings Mastery,Manacher (longest palindrome),Hidden constraints that break Manacher (longest palindrome)
DSA,DSA — Strings Mastery,Suffix Array,Dry run like a pro: Suffix Array on real inputs
DSA,DSA — Strings Mastery,Suffix Automaton,"Refactor a messy Suffix Automaton into clean, fast code"
DSA,DSA — Strings Mastery,Suffix Tree (Ukkonen),Space vs time in Suffix Tree (Ukkonen): what to trade off
DSA,DSA — Strings Mastery,Aho–Corasick,Edge cases that break 8/10 Aho–Corasick submissions
