pillar,category,seed,title
Programming,C++,STL containers,Why C++ is still king for Indian interviews 👑
Programming,C++,iterators & algorithms,How C++ makes coding rounds 2x faster — patterns you’ll reuse
Programming,C++,pointers & references,C++ in 60 seconds: the only pointers & references intuition you need
Programming,C++,RAII & smart pointers,"RAII & smart pointers in C++ — stop brute forcing, write idiomatic code"
Programming,C++,move semantics,C++ move semantics: top 7 mistakes that cost offers in India
Programming,C++,templates & SFINAE (intro),From messy to clean: refactor your C++ templates & SFINAE (intro) live
Programming,C++,chrono & formatting,Interview day checklist: C++ chrono & formatting in 5 bullets
Programming,C++,I/O speed tricks,Whiteboard to code: C++ I/O speed tricks with edge cases
Programming,C++,std::thread & atomics (intro),Explain it like I’m 5: C++ std::thread & atomics (intro) without jargon
Programming,C++,cmake basics,Speedrun C++ cmake basics: archetypes you must know
Programming,C++,debugging & UB traps,You’re overcomplicating it — simplify your C++ debugging & UB traps
Programming,C++,STL containers,Performance 101: make C++ STL containers 10x faster (no hacks)
Programming,C++,iterators & algorithms,Memory vs speed: tradeoffs in C++ iterators & algorithms
Programming,C++,pointers & references,Idiomatic C++: do’s & don’ts for pointers & references
Programming,C++,RAII & smart pointers,Debugging live: fix a broken C++ RAII & smart pointers solution
Programming,C++,move semantics,Unit tests that catch subtle bugs in C++ move semantics
Programming,C++,templates & SFINAE (intro),C++ templates & SFINAE (intro) cheat sheet — templates + pitfalls
Programming,C++,chrono & formatting,Phone screen vs onsite: how C++ chrono & formatting questions differ
Programming,C++,I/O speed tricks,Narrate your thinking: explain C++ I/O speed tricks like a pro
Programming,C++,std::thread & atomics (intro),Before you code: 4 questions for any C++ std::thread & atomics (intro)
Programming,C++,cmake basics,From DSA to dev: where C++ cmake basics shows up in real systems
Programming,C++,debugging & UB traps,Edge cases that break 8/10 C++ debugging & UB traps submissions
Programming,C++,STL containers,Back-of-the-envelope complexity: C++ STL containers
Programming,C++,iterators & algorithms,Code smells in C++ iterators & algorithms — and quick fixes
Programming,C++,pointers & references,Template showdown: clean APIs for C++ pointers & references
Programming,C++,RAII & smart pointers,Interview kata: daily reps for C++ RAII & smart pointers
Programming,C++,move semantics,Crash course: C++ move semantics in 5 minutes
Programming,C++,templates & SFINAE (intro),Top 5 questions around C++ templates & SFINAE (intro) this year
Programming,C++,chrono & formatting,From CP to interviews: map chrono & formatting to idiomatic C++
Programming,C++,I/O speed tricks,Prove it: correctness for C++ I/O speed tricks (plain English)
Programming,C++,std::thread & atomics (intro),When not to use C++ features for std::thread & atomics (intro) (and what instead)
Programming,C++,cmake basics,Why C++ is still king for Indian interviews 👑
Programming,C++,debugging & UB traps,How C++ makes coding rounds 2x faster — patterns you’ll reuse
Programming,C++,STL containers,C++ in 60 seconds: the only STL containers intuition you need
Programming,C++,iterators & algorithms,"iterators & algorithms in C++ — stop brute forcing, write idiomatic code"
Programming,C++,pointers & references,C++ pointers & references: top 7 mistakes that cost offers in India
Programming,C++,RAII & smart pointers,From messy to clean: refactor your C++ RAII & smart pointers live
Programming,C++,move semantics,Interview day checklist: C++ move semantics in 5 bullets
Programming,C++,templates & SFINAE (intro),Whiteboard to code: C++ templates & SFINAE (intro) with edge cases
Programming,C++,chrono & formatting,Explain it like I’m 5: C++ chrono & formatting without jargon
Programming,C++,I/O speed tricks,Speedrun C++ I/O speed tricks: archetypes you must know
Programming,C++,std::thread & atomics (intro),You’re overcomplicating it — simplify your C++ std::thread & atomics (intro)
Programming,C++,cmake basics,Performance 101: make C++ cmake basics 10x faster (no hacks)
Programming,C++,debugging & UB traps,Memory vs speed: tradeoffs in C++ debugging & UB traps
Programming,C++,STL containers,Idiomatic C++: do’s & don’ts for STL containers
Programming,C++,iterators & algorithms,Debugging live: fix a broken C++ iterators & algorithms solution
Programming,C++,pointers & references,Unit tests that catch subtle bugs in C++ pointers & references
Programming,C++,RAII & smart pointers,C++ RAII & smart pointers cheat sheet — templates + pitfalls
Programming,C++,move semantics,Phone screen vs onsite: how C++ move semantics questions differ
Programming,C++,templates & SFINAE (intro),Narrate your thinking: explain C++ templates & SFINAE (intro) like a pro
Programming,C++,chrono & formatting,Before you code: 4 questions for any C++ chrono & formatting
Programming,C++,I/O speed tricks,From DSA to dev: where C++ I/O speed tricks shows up in real systems
Programming,C++,std::thread & atomics (intro),Edge cases that break 8/10 C++ std::thread & atomics (intro) submissions
Programming,C++,cmake basics,Back-of-the-envelope complexity: C++ cmake basics
Programming,C++,debugging & UB traps,Code smells in C++ debugging & UB traps — and quick fixes
Programming,C++,STL containers,Template showdown: clean APIs for C++ STL containers
Programming,C++,iterators & algorithms,Interview kata: daily reps for C++ iterators & algorithms
Programming,C++,pointers & references,Crash course: C++ pointers & references in 5 minutes
Programming,C++,RAII & smart pointers,Top 5 questions around C++ RAII & smart pointers this year
Programming,C++,move semantics,From CP to interviews: map move semantics to idiomatic C++
Programming,C++,templates & SFINAE (intro),Prove it: correctness for C++ templates & SFINAE (intro) (plain English)
Programming,C++,chrono & formatting,When not to use C++ features for chrono & formatting (and what instead)
Programming,C++,I/O speed tricks,Why C++ is still king for Indian interviews 👑
Programming,C++,std::thread & atomics (intro),How C++ makes coding rounds 2x faster — patterns you’ll reuse
Programming,C++,cmake basics,C++ in 60 seconds: the only cmake basics intuition you need
Programming,C++,debugging & UB traps,"debugging & UB traps in C++ — stop brute forcing, write idiomatic code"
Programming,C++,STL containers,C++ STL containers: top 7 mistakes that cost offers in India
Programming,C++,iterators & algorithms,From messy to clean: refactor your C++ iterators & algorithms live
Programming,C++,pointers & references,Interview day checklist: C++ pointers & references in 5 bullets
Programming,C++,RAII & smart pointers,Whiteboard to code: C++ RAII & smart pointers with edge cases
Programming,C++,move semantics,Explain it like I’m 5: C++ move semantics without jargon
Programming,C++,templates & SFINAE (intro),Speedrun C++ templates & SFINAE (intro): archetypes you must know
Programming,C++,chrono & formatting,You’re overcomplicating it — simplify your C++ chrono & formatting
Programming,C++,I/O speed tricks,Performance 101: make C++ I/O speed tricks 10x faster (no hacks)
Programming,C++,std::thread & atomics (intro),Memory vs speed: tradeoffs in C++ std::thread & atomics (intro)
Programming,C++,cmake basics,Idiomatic C++: do’s & don’ts for cmake basics
Programming,C++,debugging & UB traps,Debugging live: fix a broken C++ debugging & UB traps solution
Programming,C++,STL containers,Unit tests that catch subtle bugs in C++ STL containers
Programming,C++,iterators & algorithms,C++ iterators & algorithms cheat sheet — templates + pitfalls
Programming,C++,pointers & references,Phone screen vs onsite: how C++ pointers & references questions differ
Programming,C++,RAII & smart pointers,Narrate your thinking: explain C++ RAII & smart pointers like a pro
Programming,C++,move semantics,Before you code: 4 questions for any C++ move semantics
Programming,C++,templates & SFINAE (intro),From DSA to dev: where C++ templates & SFINAE (intro) shows up in real systems
Programming,C++,chrono & formatting,Edge cases that break 8/10 C++ chrono & formatting submissions
Programming,C++,I/O speed tricks,Back-of-the-envelope complexity: C++ I/O speed tricks
Programming,C++,std::thread & atomics (intro),Code smells in C++ std::thread & atomics (intro) — and quick fixes
Programming,C++,cmake basics,Template showdown: clean APIs for C++ cmake basics
Programming,C++,debugging & UB traps,Interview kata: daily reps for C++ debugging & UB traps
Programming,C++,STL containers,Crash course: C++ STL containers in 5 minutes
Programming,C++,iterators & algorithms,Top 5 questions around C++ iterators & algorithms this year
Programming,C++,pointers & references,From CP to interviews: map pointers & references to idiomatic C++
Programming,C++,RAII & smart pointers,Prove it: correctness for C++ RAII & smart pointers (plain English)
Programming,C++,move semantics,When not to use C++ features for move semantics (and what instead)
Programming,C++,templates & SFINAE (intro),Why C++ is still king for Indian interviews 👑
Programming,C++,chrono & formatting,How C++ makes coding rounds 2x faster — patterns you’ll reuse
Programming,C++,I/O speed tricks,C++ in 60 seconds: the only I/O speed tricks intuition you need
Programming,C++,std::thread & atomics (intro),"std::thread & atomics (intro) in C++ — stop brute forcing, write idiomatic code"
Programming,C++,cmake basics,C++ cmake basics: top 7 mistakes that cost offers in India
Programming,C++,debugging & UB traps,From messy to clean: refactor your C++ debugging & UB traps live
Programming,C++,STL containers,Interview day checklist: C++ STL containers in 5 bullets
Programming,C++,iterators & algorithms,Whiteboard to code: C++ iterators & algorithms with edge cases
Programming,C++,pointers & references,Explain it like I’m 5: C++ pointers & references without jargon
Programming,C++,RAII & smart pointers,Speedrun C++ RAII & smart pointers: archetypes you must know
Programming,C++,move semantics,You’re overcomplicating it — simplify your C++ move semantics
Programming,C++,templates & SFINAE (intro),Performance 101: make C++ templates & SFINAE (intro) 10x faster (no hacks)
Programming,C++,chrono & formatting,Memory vs speed: tradeoffs in C++ chrono & formatting
Programming,C++,I/O speed tricks,Idiomatic C++: do’s & don’ts for I/O speed tricks
Programming,C++,std::thread & atomics (intro),Debugging live: fix a broken C++ std::thread & atomics (intro) solution
Programming,C++,cmake basics,Unit tests that catch subtle bugs in C++ cmake basics
Programming,C++,debugging & UB traps,C++ debugging & UB traps cheat sheet — templates + pitfalls
Programming,C++,STL containers,Phone screen vs onsite: how C++ STL containers questions differ
Programming,C++,iterators & algorithms,Narrate your thinking: explain C++ iterators & algorithms like a pro
Programming,C++,pointers & references,Before you code: 4 questions for any C++ pointers & references
Programming,C++,RAII & smart pointers,From DSA to dev: where C++ RAII & smart pointers shows up in real systems
Programming,C++,move semantics,Edge cases that break 8/10 C++ move semantics submissions
Programming,C++,templates & SFINAE (intro),Back-of-the-envelope complexity: C++ templates & SFINAE (intro)
