pillar,category,seed,title
DSA,DSA — Geometry,Orientation & cross product,Robustness: epsilons & integer geometry in Orientation & cross product
DSA,DSA — Geometry,Line intersection,Visual intuition first for Line intersection
DSA,DSA — Geometry,Closest pair of points,Common traps: collinearity & degenerates in Closest pair of points
DSA,DSA — Geometry,Convex hull (Graham/Andrew),Templates & helpers for Convex hull (Graham/Andrew)
DSA,DSA — Geometry,Rotating calipers,Interview picks that feature Rotating calipers
DSA,DSA — Geometry,Sweep line (events),Why Sweep line (events) scares 90% of interviewees (and how to master it)
DSA,DSA — Geometry,Point-in-polygon (ray/winding),Point-in-polygon (ray/winding) in 60 seconds — intuition first
DSA,DSA — Geometry,Polygon area (shoelace),Stop brute forcing: spot the Polygon area (shoelace) trigger words
DSA,DSA — Geometry,Circle/rectangle overlap,Circle/rectangle overlap vs brute force — when to switch and why
DSA,DSA — Geometry,Grid geometry (BFS with diagonals),Top 7 mistakes in Grid geometry (BFS with diagonals) that cost offers
DSA,DSA — Geometry,Knight moves (grid),From O(N^2) → O(N): optimize your Knight moves (grid)
DSA,DSA — Geometry,Segment intersection,"Segment intersection for beginners: visuals, patterns, pitfalls"
DSA,DSA — Geometry,Bounding boxes & pruning,Think like an interviewer: how I grade your Bounding boxes & pruning
DSA,DSA — Geometry,Orientation & cross product,Whiteboard to code: Orientation & cross product with edge cases
DSA,DSA — Geometry,Line intersection,You don’t need to memorize — template for Line intersection
DSA,DSA — Geometry,Closest pair of points,Interview day checklist for Closest pair of points
DSA,DSA — Geometry,Convex hull (Graham/Andrew),Hidden constraints that break Convex hull (Graham/Andrew)
DSA,DSA — Geometry,Rotating calipers,Prove correctness for Rotating calipers in plain English
DSA,DSA — Geometry,Sweep line (events),Speedrun Sweep line (events): archetypes you must know
DSA,DSA — Geometry,Point-in-polygon (ray/winding),Complexity showdown: naive vs optimal Point-in-polygon (ray/winding)
DSA,DSA — Geometry,Polygon area (shoelace),One trick that simplifies most Polygon area (shoelace) questions
DSA,DSA — Geometry,Circle/rectangle overlap,Robustness: epsilons & integer geometry in Circle/rectangle overlap
DSA,DSA — Geometry,Grid geometry (BFS with diagonals),Visual intuition first for Grid geometry (BFS with diagonals)
DSA,DSA — Geometry,Knight moves (grid),Common traps: collinearity & degenerates in Knight moves (grid)
DSA,DSA — Geometry,Segment intersection,Templates & helpers for Segment intersection
DSA,DSA — Geometry,Bounding boxes & pruning,Interview picks that feature Bounding boxes & pruning
DSA,DSA — Geometry,Orientation & cross product,Why Orientation & cross product scares 90% of interviewees (and how to master it)
DSA,DSA — Geometry,Line intersection,Line intersection in 60 seconds — intuition first
DSA,DSA — Geometry,Closest pair of points,Stop brute forcing: spot the Closest pair of points trigger words
DSA,DSA — Geometry,Convex hull (Graham/Andrew),Convex hull (Graham/Andrew) vs brute force — when to switch and why
DSA,DSA — Geometry,Rotating calipers,Top 7 mistakes in Rotating calipers that cost offers
DSA,DSA — Geometry,Sweep line (events),From O(N^2) → O(N): optimize your Sweep line (events)
DSA,DSA — Geometry,Point-in-polygon (ray/winding),"Point-in-polygon (ray/winding) for beginners: visuals, patterns, pitfalls"
DSA,DSA — Geometry,Polygon area (shoelace),Think like an interviewer: how I grade your Polygon area (shoelace)
DSA,DSA — Geometry,Circle/rectangle overlap,Whiteboard to code: Circle/rectangle overlap with edge cases
DSA,DSA — Geometry,Grid geometry (BFS with diagonals),You don’t need to memorize — template for Grid geometry (BFS with diagonals)
DSA,DSA — Geometry,Knight moves (grid),Interview day checklist for Knight moves (grid)
DSA,DSA — Geometry,Segment intersection,Hidden constraints that break Segment intersection
DSA,DSA — Geometry,Bounding boxes & pruning,Prove correctness for Bounding boxes & pruning in plain English
DSA,DSA — Geometry,Orientation & cross product,Speedrun Orientation & cross product: archetypes you must know
DSA,DSA — Geometry,Line intersection,Complexity showdown: naive vs optimal Line intersection
DSA,DSA — Geometry,Closest pair of points,One trick that simplifies most Closest pair of points questions
DSA,DSA — Geometry,Convex hull (Graham/Andrew),Robustness: epsilons & integer geometry in Convex hull (Graham/Andrew)
