pillar,category,seed,title
DSA,DSA — Graph Algorithms Pro,BFS/DFS patterns,Shortest path with state: keys/doors via BFS/DFS patterns
DSA,DSA — Graph Algorithms Pro,Multi-source BFS,When to swap Multi-source BFS for a simpler BFS
DSA,DSA — Graph Algorithms Pro,0-1 BFS,Debugging 0-1 BFS: parent arrays & reconstructions
DSA,DSA — Graph Algorithms Pro,Dijkstra,Edge cases: negative edges & cycles in Dijkstra
DSA,DSA — Graph Algorithms Pro,Bellman–Ford,Visual heuristics: when graphs scream Bellman–Ford
DSA,DSA — Graph Algorithms Pro,Floyd–Warshall,Why Floyd–Warshall scares 90% of interviewees (and how to master it)
DSA,DSA — Graph Algorithms Pro,Topological Sort (Kahn/DFS),Topological Sort (Kahn/DFS) in 60 seconds — intuition first
DSA,DSA — Graph Algorithms Pro,DAG DP,Stop brute forcing: spot the DAG DP trigger words
DSA,DSA — Graph Algorithms Pro,Bridges & Articulation (Tarjan),Bridges & Articulation (Tarjan) vs brute force — when to switch and why
DSA,DSA — Graph Algorithms Pro,SCC (Kosaraju/Tarjan),Top 7 mistakes in SCC (Kosaraju/Tarjan) that cost offers
DSA,DSA — Graph Algorithms Pro,Euler path/cycle,From O(N^2) → O(N): optimize your Euler path/cycle
DSA,DSA — Graph Algorithms Pro,MST (Kruskal/Prim + DSU),"MST (Kruskal/Prim + DSU) for beginners: visuals, patterns, pitfalls"
DSA,DSA — Graph Algorithms Pro,Union-Find (DSU),Think like an interviewer: how I grade your Union-Find (DSU)
DSA,DSA — Graph Algorithms Pro,Bipartite check & coloring,Whiteboard to code: Bipartite check & coloring with edge cases
DSA,DSA — Graph Algorithms Pro,Hopcroft–Karp (bipartite matching),You don’t need to memorize — template for Hopcroft–Karp (bipartite matching)
DSA,DSA — Graph Algorithms Pro,Max Flow (Dinic),"Max Flow (Dinic) cheat sheet: patterns, templates, tests"
DSA,DSA — Graph Algorithms Pro,Min-Cost Max-Flow,Interview day checklist for Min-Cost Max-Flow
DSA,DSA — Graph Algorithms Pro,LCA (binary lifting),Draw this first: diagram that unlocks LCA (binary lifting)
DSA,DSA — Graph Algorithms Pro,Heavy-Light Decomposition,The ‘aha!’ intuition behind Heavy-Light Decomposition
DSA,DSA — Graph Algorithms Pro,Tree diameter/centroid,Hidden constraints that break Tree diameter/centroid
DSA,DSA — Graph Algorithms Pro,DSU on tree,Dry run like a pro: DSU on tree on real inputs
DSA,DSA — Graph Algorithms Pro,Tree flattening (Euler tour),"Refactor a messy Tree flattening (Euler tour) into clean, fast code"
DSA,DSA — Graph Algorithms Pro,BFS/DFS patterns,Space vs time in BFS/DFS patterns: what to trade off
DSA,DSA — Graph Algorithms Pro,Multi-source BFS,Edge cases that break 8/10 Multi-source BFS submissions
DSA,DSA — Graph Algorithms Pro,0-1 BFS,Prove correctness for 0-1 BFS in plain English
DSA,DSA — Graph Algorithms Pro,Dijkstra,Phone screen vs onsite: Dijkstra differences
DSA,DSA — Graph Algorithms Pro,Bellman–Ford,Speedrun Bellman–Ford: archetypes you must know
DSA,DSA — Graph Algorithms Pro,Floyd–Warshall,Complexity showdown: naive vs optimal Floyd–Warshall
DSA,DSA — Graph Algorithms Pro,Topological Sort (Kahn/DFS),Debugging live: fix a broken Topological Sort (Kahn/DFS) solution
DSA,DSA — Graph Algorithms Pro,DAG DP,"Off-by-one, bounds, and overflow in DAG DP"
DSA,DSA — Graph Algorithms Pro,Bridges & Articulation (Tarjan),Simplify before you optimize: Bridges & Articulation (Tarjan)
DSA,DSA — Graph Algorithms Pro,SCC (Kosaraju/Tarjan),"Mock interview: one SCC (Kosaraju/Tarjan) problem, full process"
DSA,DSA — Graph Algorithms Pro,Euler path/cycle,Unit tests that catch subtle Euler path/cycle bugs
DSA,DSA — Graph Algorithms Pro,MST (Kruskal/Prim + DSU),When to use hash maps / sets with MST (Kruskal/Prim + DSU)
DSA,DSA — Graph Algorithms Pro,Union-Find (DSU),Why your Union-Find (DSU) TLEs at scale — and how to fix it
DSA,DSA — Graph Algorithms Pro,Bipartite check & coloring,Translate to C++/Java/Python: fast Bipartite check & coloring
DSA,DSA — Graph Algorithms Pro,Hopcroft–Karp (bipartite matching),Read the prompt: keywords that scream Hopcroft–Karp (bipartite matching)
DSA,DSA — Graph Algorithms Pro,Max Flow (Dinic),Back-of-the-envelope complexity for Max Flow (Dinic)
DSA,DSA — Graph Algorithms Pro,Min-Cost Max-Flow,Roadmap: beginner → advanced Min-Cost Max-Flow
DSA,DSA — Graph Algorithms Pro,LCA (binary lifting),One trick that simplifies most LCA (binary lifting) questions
DSA,DSA — Graph Algorithms Pro,Heavy-Light Decomposition,Stop re-deriving! Reusable template for Heavy-Light Decomposition
DSA,DSA — Graph Algorithms Pro,Tree diameter/centroid,Edge vs corner cases — Tree diameter/centroid edition
DSA,DSA — Graph Algorithms Pro,DSU on tree,Narrate your approach: explain DSU on tree confidently
DSA,DSA — Graph Algorithms Pro,Tree flattening (Euler tour),Checklist before coding Tree flattening (Euler tour)
DSA,DSA — Graph Algorithms Pro,BFS/DFS patterns,Interview kata: daily reps for BFS/DFS patterns
DSA,DSA — Graph Algorithms Pro,Multi-source BFS,Constraint-driven design: pick the right Multi-source BFS approach
DSA,DSA — Graph Algorithms Pro,0-1 BFS,Shortest path with state: keys/doors via 0-1 BFS
DSA,DSA — Graph Algorithms Pro,Dijkstra,When to swap Dijkstra for a simpler BFS
DSA,DSA — Graph Algorithms Pro,Bellman–Ford,Debugging Bellman–Ford: parent arrays & reconstructions
DSA,DSA — Graph Algorithms Pro,Floyd–Warshall,Edge cases: negative edges & cycles in Floyd–Warshall
DSA,DSA — Graph Algorithms Pro,Topological Sort (Kahn/DFS),Visual heuristics: when graphs scream Topological Sort (Kahn/DFS)
