pillar,category,seed,title
APIs & Backend,APIs — gRPC & RPC,proto design & compatibility,Why every Indian startup runs on APIs (and how they scale) — proto design & compatibility edition
APIs & Backend,APIs — gRPC & RPC,Unary vs streaming RPC,"Unary vs streaming RPC in 60 seconds — intuition first, headers/bytes later"
APIs & Backend,APIs — gRPC & RPC,deadlines & cancellations,Stop building slow endpoints: deadlines & cancellations patterns that actually scale
APIs & Backend,APIs — gRPC & RPC,metadata & interceptors,metadata & interceptors vs brute integrations — when to switch and why
APIs & Backend,APIs — gRPC & RPC,load balancing & name resolution,Top 7 mistakes in load balancing & name resolution that cost outages
APIs & Backend,APIs — gRPC & RPC,gRPC-Web & proxies,"From flaky to reliable: retries, idempotency, timeouts for gRPC-Web & proxies"
APIs & Backend,APIs — gRPC & RPC,HTTP/2 multiplexing,The mental model that unlocks HTTP/2 multiplexing
APIs & Backend,APIs — gRPC & RPC,mTLS with gRPC,Whiteboard to prod: shipping mTLS with gRPC with guardrails
APIs & Backend,APIs — gRPC & RPC,error codes & retries,Interview day checklist: error codes & retries in 5 bullets
APIs & Backend,APIs — gRPC & RPC,backpressure strategies,Explain like I’m 5: backpressure strategies without jargon
APIs & Backend,APIs — gRPC & RPC,proto design & compatibility,"Observability-first proto design & compatibility: logs, metrics, traces"
APIs & Backend,APIs — gRPC & RPC,Unary vs streaming RPC,Cost-aware Unary vs streaming RPC: make it fast without burning cloud spend
APIs & Backend,APIs — gRPC & RPC,deadlines & cancellations,Do’s & don’ts: clean APIs around deadlines & cancellations
APIs & Backend,APIs — gRPC & RPC,metadata & interceptors,Backpressure and rate limits: taming spiky traffic in metadata & interceptors
APIs & Backend,APIs — gRPC & RPC,load balancing & name resolution,API versioning & compatibility: zero-downtime decisions for load balancing & name resolution
APIs & Backend,APIs — gRPC & RPC,gRPC-Web & proxies,N+1 killers: caching & pagination patterns for gRPC-Web & proxies
APIs & Backend,APIs — gRPC & RPC,HTTP/2 multiplexing,SLOs & SLAs: promise what you can keep with HTTP/2 multiplexing
APIs & Backend,APIs — gRPC & RPC,mTLS with gRPC,Blueprint: load test & stage rollouts for mTLS with gRPC
APIs & Backend,APIs — gRPC & RPC,error codes & retries,Security checklist before launch: error codes & retries
APIs & Backend,APIs — gRPC & RPC,backpressure strategies,Postmortem 101: learning from incidents in backpressure strategies
APIs & Backend,APIs — gRPC & RPC,proto design & compatibility,Why every Indian startup runs on APIs (and how they scale) — proto design & compatibility edition
APIs & Backend,APIs — gRPC & RPC,Unary vs streaming RPC,"Unary vs streaming RPC in 60 seconds — intuition first, headers/bytes later"
APIs & Backend,APIs — gRPC & RPC,deadlines & cancellations,Stop building slow endpoints: deadlines & cancellations patterns that actually scale
APIs & Backend,APIs — gRPC & RPC,metadata & interceptors,metadata & interceptors vs brute integrations — when to switch and why
APIs & Backend,APIs — gRPC & RPC,load balancing & name resolution,Top 7 mistakes in load balancing & name resolution that cost outages
APIs & Backend,APIs — gRPC & RPC,gRPC-Web & proxies,"From flaky to reliable: retries, idempotency, timeouts for gRPC-Web & proxies"
APIs & Backend,APIs — gRPC & RPC,HTTP/2 multiplexing,The mental model that unlocks HTTP/2 multiplexing
APIs & Backend,APIs — gRPC & RPC,mTLS with gRPC,Whiteboard to prod: shipping mTLS with gRPC with guardrails
APIs & Backend,APIs — gRPC & RPC,error codes & retries,Interview day checklist: error codes & retries in 5 bullets
APIs & Backend,APIs — gRPC & RPC,backpressure strategies,Explain like I’m 5: backpressure strategies without jargon
APIs & Backend,APIs — gRPC & RPC,proto design & compatibility,"Observability-first proto design & compatibility: logs, metrics, traces"
APIs & Backend,APIs — gRPC & RPC,Unary vs streaming RPC,Cost-aware Unary vs streaming RPC: make it fast without burning cloud spend
APIs & Backend,APIs — gRPC & RPC,deadlines & cancellations,Do’s & don’ts: clean APIs around deadlines & cancellations
APIs & Backend,APIs — gRPC & RPC,metadata & interceptors,Backpressure and rate limits: taming spiky traffic in metadata & interceptors
APIs & Backend,APIs — gRPC & RPC,load balancing & name resolution,API versioning & compatibility: zero-downtime decisions for load balancing & name resolution
APIs & Backend,APIs — gRPC & RPC,gRPC-Web & proxies,N+1 killers: caching & pagination patterns for gRPC-Web & proxies
APIs & Backend,APIs — gRPC & RPC,HTTP/2 multiplexing,SLOs & SLAs: promise what you can keep with HTTP/2 multiplexing
APIs & Backend,APIs — gRPC & RPC,mTLS with gRPC,Blueprint: load test & stage rollouts for mTLS with gRPC
APIs & Backend,APIs — gRPC & RPC,error codes & retries,Security checklist before launch: error codes & retries
