pillar,category,seed,title
Frontend & UI/UX,Frontend — React Advanced & Next.js,Next.js routing & layouts (app router),API boundaries for Next.js routing & layouts (app router)
Frontend & UI/UX,Frontend — React Advanced & Next.js,SSR/SSG/ISR tradeoffs,Edge rendering & CDN for SSR/SSG/ISR tradeoffs
Frontend & UI/UX,Frontend — React Advanced & Next.js,React Server Components (intro),User-perceived latency wins in React Server Components (intro)
Frontend & UI/UX,Frontend — React Advanced & Next.js,Suspense & streaming UIs,Accessibility audits around Suspense & streaming UIs
Frontend & UI/UX,Frontend — React Advanced & Next.js,code splitting & lazy,Observability for frontend code splitting & lazy
Frontend & UI/UX,Frontend — React Advanced & Next.js,image optimization & fonts,"image optimization & fonts in 60 seconds — intuition first, code second"
Frontend & UI/UX,Frontend — React Advanced & Next.js,hydration & partial re-render,Stop guessing: battle-tested patterns for hydration & partial re-render
Frontend & UI/UX,Frontend — React Advanced & Next.js,performance & memoization,From messy to clean: refactor your performance & memoization live
Frontend & UI/UX,Frontend — React Advanced & Next.js,TanStack Query & caching,Top 7 mistakes in TanStack Query & caching (and quick fixes)
Frontend & UI/UX,Frontend — React Advanced & Next.js,i18n & multi-tenant theming,Whiteboard → code: ship i18n & multi-tenant theming with guardrails
Frontend & UI/UX,Frontend — React Advanced & Next.js,Next.js routing & layouts (app router),Interview-ready: 5 bullets that explain Next.js routing & layouts (app router)
Frontend & UI/UX,Frontend — React Advanced & Next.js,SSR/SSG/ISR tradeoffs,Explain like I’m 5: SSR/SSG/ISR tradeoffs without jargon
Frontend & UI/UX,Frontend — React Advanced & Next.js,React Server Components (intro),When to pick A vs B inside React Server Components (intro)
Frontend & UI/UX,Frontend — React Advanced & Next.js,Suspense & streaming UIs,Debugging live: fix a broken Suspense & streaming UIs in minutes
Frontend & UI/UX,Frontend — React Advanced & Next.js,code splitting & lazy,Templates you’ll reuse for code splitting & lazy all year
Frontend & UI/UX,Frontend — React Advanced & Next.js,image optimization & fonts,The mental model that unlocks image optimization & fonts
Frontend & UI/UX,Frontend — React Advanced & Next.js,hydration & partial re-render,Perf-first hydration & partial re-render: make it fast on low-end Android
Frontend & UI/UX,Frontend — React Advanced & Next.js,performance & memoization,Accessibility-first performance & memoization: include everyone
Frontend & UI/UX,Frontend — React Advanced & Next.js,TanStack Query & caching,Cost-aware TanStack Query & caching: speed without burning cloud spend
