pillar,category,seed,title
Programming,SQL,joins deep dive,Why SQL is still king for Indian interviews 👑
Programming,SQL,indexes & query plans,How SQL makes coding rounds 2x faster — patterns you’ll reuse
Programming,SQL,normal forms,SQL in 60 seconds: the only normal forms intuition you need
Programming,SQL,transactions & ACID,"transactions & ACID in SQL — stop brute forcing, write idiomatic code"
Programming,SQL,isolation levels & locks,SQL isolation levels & locks: top 7 mistakes that cost offers in India
Programming,SQL,window functions,From messy to clean: refactor your SQL window functions live
Programming,SQL,subqueries & CTEs,Interview day checklist: SQL subqueries & CTEs in 5 bullets
Programming,SQL,grouping sets & rollups,Whiteboard to code: SQL grouping sets & rollups with edge cases
Programming,SQL,schema design dos/donts,Explain it like I’m 5: SQL schema design dos/donts without jargon
Programming,SQL,query anti-patterns,Speedrun SQL query anti-patterns: archetypes you must know
Programming,SQL,performance tuning,You’re overcomplicating it — simplify your SQL performance tuning
Programming,SQL,joins deep dive,Performance 101: make SQL joins deep dive 10x faster (no hacks)
Programming,SQL,indexes & query plans,Memory vs speed: tradeoffs in SQL indexes & query plans
Programming,SQL,normal forms,Idiomatic SQL: do’s & don’ts for normal forms
Programming,SQL,transactions & ACID,Debugging live: fix a broken SQL transactions & ACID solution
Programming,SQL,isolation levels & locks,Unit tests that catch subtle bugs in SQL isolation levels & locks
Programming,SQL,window functions,SQL window functions cheat sheet — templates + pitfalls
Programming,SQL,subqueries & CTEs,Phone screen vs onsite: how SQL subqueries & CTEs questions differ
Programming,SQL,grouping sets & rollups,Narrate your thinking: explain SQL grouping sets & rollups like a pro
Programming,SQL,schema design dos/donts,Before you code: 4 questions for any SQL schema design dos/donts
Programming,SQL,query anti-patterns,From DSA to dev: where SQL query anti-patterns shows up in real systems
Programming,SQL,performance tuning,Edge cases that break 8/10 SQL performance tuning submissions
Programming,SQL,joins deep dive,Back-of-the-envelope complexity: SQL joins deep dive
Programming,SQL,indexes & query plans,Code smells in SQL indexes & query plans — and quick fixes
Programming,SQL,normal forms,Template showdown: clean APIs for SQL normal forms
Programming,SQL,transactions & ACID,Interview kata: daily reps for SQL transactions & ACID
Programming,SQL,isolation levels & locks,Crash course: SQL isolation levels & locks in 5 minutes
Programming,SQL,window functions,Top 5 questions around SQL window functions this year
Programming,SQL,subqueries & CTEs,From CP to interviews: map subqueries & CTEs to idiomatic SQL
Programming,SQL,grouping sets & rollups,Prove it: correctness for SQL grouping sets & rollups (plain English)
Programming,SQL,schema design dos/donts,When not to use SQL features for schema design dos/donts (and what instead)
Programming,SQL,query anti-patterns,Why SQL is still king for Indian interviews 👑
Programming,SQL,performance tuning,How SQL makes coding rounds 2x faster — patterns you’ll reuse
Programming,SQL,joins deep dive,SQL in 60 seconds: the only joins deep dive intuition you need
Programming,SQL,indexes & query plans,"indexes & query plans in SQL — stop brute forcing, write idiomatic code"
Programming,SQL,normal forms,SQL normal forms: top 7 mistakes that cost offers in India
Programming,SQL,transactions & ACID,From messy to clean: refactor your SQL transactions & ACID live
