pillar,category,seed,title
Programming,Java,OOP & SOLID,Why Java is still king for Indian interviews 👑
Programming,Java,Generics & type erasure,How Java makes coding rounds 2x faster — patterns you’ll reuse
Programming,Java,Collections & maps,Java in 60 seconds: the only Collections & maps intuition you need
Programming,Java,Streams & lambdas,"Streams & lambdas in Java — stop brute forcing, write idiomatic code"
Programming,Java,Concurrency: Executors/CompletableFuture,Java Concurrency: Executors/CompletableFuture: top 7 mistakes that cost offers in India
Programming,Java,JVM/GC/JIT basics,From messy to clean: refactor your Java JVM/GC/JIT basics live
Programming,Java,Records & sealed classes,Interview day checklist: Java Records & sealed classes in 5 bullets
Programming,Java,Exceptions & best practices,Whiteboard to code: Java Exceptions & best practices with edge cases
Programming,Java,Immutability & builders,Explain it like I’m 5: Java Immutability & builders without jargon
Programming,Java,Testing with JUnit,Speedrun Java Testing with JUnit: archetypes you must know
Programming,Java,Maven/Gradle basics,You’re overcomplicating it — simplify your Java Maven/Gradle basics
Programming,Java,OOP & SOLID,Performance 101: make Java OOP & SOLID 10x faster (no hacks)
Programming,Java,Generics & type erasure,Memory vs speed: tradeoffs in Java Generics & type erasure
Programming,Java,Collections & maps,Idiomatic Java: do’s & don’ts for Collections & maps
Programming,Java,Streams & lambdas,Debugging live: fix a broken Java Streams & lambdas solution
Programming,Java,Concurrency: Executors/CompletableFuture,Unit tests that catch subtle bugs in Java Concurrency: Executors/CompletableFuture
Programming,Java,JVM/GC/JIT basics,Java JVM/GC/JIT basics cheat sheet — templates + pitfalls
Programming,Java,Records & sealed classes,Phone screen vs onsite: how Java Records & sealed classes questions differ
Programming,Java,Exceptions & best practices,Narrate your thinking: explain Java Exceptions & best practices like a pro
Programming,Java,Immutability & builders,Before you code: 4 questions for any Java Immutability & builders
Programming,Java,Testing with JUnit,From DSA to dev: where Java Testing with JUnit shows up in real systems
Programming,Java,Maven/Gradle basics,Edge cases that break 8/10 Java Maven/Gradle basics submissions
Programming,Java,OOP & SOLID,Back-of-the-envelope complexity: Java OOP & SOLID
Programming,Java,Generics & type erasure,Code smells in Java Generics & type erasure — and quick fixes
Programming,Java,Collections & maps,Template showdown: clean APIs for Java Collections & maps
Programming,Java,Streams & lambdas,Interview kata: daily reps for Java Streams & lambdas
Programming,Java,Concurrency: Executors/CompletableFuture,Crash course: Java Concurrency: Executors/CompletableFuture in 5 minutes
Programming,Java,JVM/GC/JIT basics,Top 5 questions around Java JVM/GC/JIT basics this year
Programming,Java,Records & sealed classes,From CP to interviews: map Records & sealed classes to idiomatic Java
Programming,Java,Exceptions & best practices,Prove it: correctness for Java Exceptions & best practices (plain English)
Programming,Java,Immutability & builders,When not to use Java features for Immutability & builders (and what instead)
Programming,Java,Testing with JUnit,Why Java is still king for Indian interviews 👑
Programming,Java,Maven/Gradle basics,How Java makes coding rounds 2x faster — patterns you’ll reuse
Programming,Java,OOP & SOLID,Java in 60 seconds: the only OOP & SOLID intuition you need
Programming,Java,Generics & type erasure,"Generics & type erasure in Java — stop brute forcing, write idiomatic code"
Programming,Java,Collections & maps,Java Collections & maps: top 7 mistakes that cost offers in India
Programming,Java,Streams & lambdas,From messy to clean: refactor your Java Streams & lambdas live
Programming,Java,Concurrency: Executors/CompletableFuture,Interview day checklist: Java Concurrency: Executors/CompletableFuture in 5 bullets
Programming,Java,JVM/GC/JIT basics,Whiteboard to code: Java JVM/GC/JIT basics with edge cases
Programming,Java,Records & sealed classes,Explain it like I’m 5: Java Records & sealed classes without jargon
Programming,Java,Exceptions & best practices,Speedrun Java Exceptions & best practices: archetypes you must know
Programming,Java,Immutability & builders,You’re overcomplicating it — simplify your Java Immutability & builders
Programming,Java,Testing with JUnit,Performance 101: make Java Testing with JUnit 10x faster (no hacks)
Programming,Java,Maven/Gradle basics,Memory vs speed: tradeoffs in Java Maven/Gradle basics
Programming,Java,OOP & SOLID,Idiomatic Java: do’s & don’ts for OOP & SOLID
Programming,Java,Generics & type erasure,Debugging live: fix a broken Java Generics & type erasure solution
Programming,Java,Collections & maps,Unit tests that catch subtle bugs in Java Collections & maps
Programming,Java,Streams & lambdas,Java Streams & lambdas cheat sheet — templates + pitfalls
Programming,Java,Concurrency: Executors/CompletableFuture,Phone screen vs onsite: how Java Concurrency: Executors/CompletableFuture questions differ
Programming,Java,JVM/GC/JIT basics,Narrate your thinking: explain Java JVM/GC/JIT basics like a pro
Programming,Java,Records & sealed classes,Before you code: 4 questions for any Java Records & sealed classes
Programming,Java,Exceptions & best practices,From DSA to dev: where Java Exceptions & best practices shows up in real systems
Programming,Java,Immutability & builders,Edge cases that break 8/10 Java Immutability & builders submissions
Programming,Java,Testing with JUnit,Back-of-the-envelope complexity: Java Testing with JUnit
Programming,Java,Maven/Gradle basics,Code smells in Java Maven/Gradle basics — and quick fixes
Programming,Java,OOP & SOLID,Template showdown: clean APIs for Java OOP & SOLID
Programming,Java,Generics & type erasure,Interview kata: daily reps for Java Generics & type erasure
Programming,Java,Collections & maps,Crash course: Java Collections & maps in 5 minutes
Programming,Java,Streams & lambdas,Top 5 questions around Java Streams & lambdas this year
Programming,Java,Concurrency: Executors/CompletableFuture,From CP to interviews: map Concurrency: Executors/CompletableFuture to idiomatic Java
Programming,Java,JVM/GC/JIT basics,Prove it: correctness for Java JVM/GC/JIT basics (plain English)
Programming,Java,Records & sealed classes,When not to use Java features for Records & sealed classes (and what instead)
Programming,Java,Exceptions & best practices,Why Java is still king for Indian interviews 👑
Programming,Java,Immutability & builders,How Java makes coding rounds 2x faster — patterns you’ll reuse
Programming,Java,Testing with JUnit,Java in 60 seconds: the only Testing with JUnit intuition you need
Programming,Java,Maven/Gradle basics,"Maven/Gradle basics in Java — stop brute forcing, write idiomatic code"
Programming,Java,OOP & SOLID,Java OOP & SOLID: top 7 mistakes that cost offers in India
Programming,Java,Generics & type erasure,From messy to clean: refactor your Java Generics & type erasure live
Programming,Java,Collections & maps,Interview day checklist: Java Collections & maps in 5 bullets
Programming,Java,Streams & lambdas,Whiteboard to code: Java Streams & lambdas with edge cases
Programming,Java,Concurrency: Executors/CompletableFuture,Explain it like I’m 5: Java Concurrency: Executors/CompletableFuture without jargon
Programming,Java,JVM/GC/JIT basics,Speedrun Java JVM/GC/JIT basics: archetypes you must know
Programming,Java,Records & sealed classes,You’re overcomplicating it — simplify your Java Records & sealed classes
Programming,Java,Exceptions & best practices,Performance 101: make Java Exceptions & best practices 10x faster (no hacks)
Programming,Java,Immutability & builders,Memory vs speed: tradeoffs in Java Immutability & builders
Programming,Java,Testing with JUnit,Idiomatic Java: do’s & don’ts for Testing with JUnit
Programming,Java,Maven/Gradle basics,Debugging live: fix a broken Java Maven/Gradle basics solution
Programming,Java,OOP & SOLID,Unit tests that catch subtle bugs in Java OOP & SOLID
Programming,Java,Generics & type erasure,Java Generics & type erasure cheat sheet — templates + pitfalls
Programming,Java,Collections & maps,Phone screen vs onsite: how Java Collections & maps questions differ
Programming,Java,Streams & lambdas,Narrate your thinking: explain Java Streams & lambdas like a pro
Programming,Java,Concurrency: Executors/CompletableFuture,Before you code: 4 questions for any Java Concurrency: Executors/CompletableFuture
Programming,Java,JVM/GC/JIT basics,From DSA to dev: where Java JVM/GC/JIT basics shows up in real systems
Programming,Java,Records & sealed classes,Edge cases that break 8/10 Java Records & sealed classes submissions
Programming,Java,Exceptions & best practices,Back-of-the-envelope complexity: Java Exceptions & best practices
Programming,Java,Immutability & builders,Code smells in Java Immutability & builders — and quick fixes
Programming,Java,Testing with JUnit,Template showdown: clean APIs for Java Testing with JUnit
Programming,Java,Maven/Gradle basics,Interview kata: daily reps for Java Maven/Gradle basics
Programming,Java,OOP & SOLID,Crash course: Java OOP & SOLID in 5 minutes
Programming,Java,Generics & type erasure,Top 5 questions around Java Generics & type erasure this year
Programming,Java,Collections & maps,From CP to interviews: map Collections & maps to idiomatic Java
Programming,Java,Streams & lambdas,Prove it: correctness for Java Streams & lambdas (plain English)
Programming,Java,Concurrency: Executors/CompletableFuture,When not to use Java features for Concurrency: Executors/CompletableFuture (and what instead)
Programming,Java,JVM/GC/JIT basics,Why Java is still king for Indian interviews 👑
Programming,Java,Records & sealed classes,How Java makes coding rounds 2x faster — patterns you’ll reuse
Programming,Java,Exceptions & best practices,Java in 60 seconds: the only Exceptions & best practices intuition you need
Programming,Java,Immutability & builders,"Immutability & builders in Java — stop brute forcing, write idiomatic code"
Programming,Java,Testing with JUnit,Java Testing with JUnit: top 7 mistakes that cost offers in India
Programming,Java,Maven/Gradle basics,From messy to clean: refactor your Java Maven/Gradle basics live
Programming,Java,OOP & SOLID,Interview day checklist: Java OOP & SOLID in 5 bullets
Programming,Java,Generics & type erasure,Whiteboard to code: Java Generics & type erasure with edge cases
Programming,Java,Collections & maps,Explain it like I’m 5: Java Collections & maps without jargon
Programming,Java,Streams & lambdas,Speedrun Java Streams & lambdas: archetypes you must know
Programming,Java,Concurrency: Executors/CompletableFuture,You’re overcomplicating it — simplify your Java Concurrency: Executors/CompletableFuture
Programming,Java,JVM/GC/JIT basics,Performance 101: make Java JVM/GC/JIT basics 10x faster (no hacks)
Programming,Java,Records & sealed classes,Memory vs speed: tradeoffs in Java Records & sealed classes
Programming,Java,Exceptions & best practices,Idiomatic Java: do’s & don’ts for Exceptions & best practices
Programming,Java,Immutability & builders,Debugging live: fix a broken Java Immutability & builders solution
Programming,Java,Testing with JUnit,Unit tests that catch subtle bugs in Java Testing with JUnit
Programming,Java,Maven/Gradle basics,Java Maven/Gradle basics cheat sheet — templates + pitfalls
Programming,Java,OOP & SOLID,Phone screen vs onsite: how Java OOP & SOLID questions differ
Programming,Java,Generics & type erasure,Narrate your thinking: explain Java Generics & type erasure like a pro
Programming,Java,Collections & maps,Before you code: 4 questions for any Java Collections & maps
Programming,Java,Streams & lambdas,From DSA to dev: where Java Streams & lambdas shows up in real systems
