pillar,category,seed,title
Programming,JavaScript,ES6+ essentials,Why JavaScript is still king for Indian interviews 👑
Programming,JavaScript,closures & scope,How JavaScript makes coding rounds 2x faster — patterns you’ll reuse
Programming,JavaScript,this & prototypes,JavaScript in 60 seconds: the only this & prototypes intuition you need
Programming,JavaScript,async/await & promises,"async/await & promises in JavaScript — stop brute forcing, write idiomatic code"
Programming,JavaScript,event loop & microtasks,JavaScript event loop & microtasks: top 7 mistakes that cost offers in India
Programming,JavaScript,fetch & APIs,From messy to clean: refactor your JavaScript fetch & APIs live
Programming,JavaScript,Map/Set & iterables,Interview day checklist: JavaScript Map/Set & iterables in 5 bullets
Programming,JavaScript,modules & bundling,Whiteboard to code: JavaScript modules & bundling with edge cases
Programming,JavaScript,node vs browser differences,Explain it like I’m 5: JavaScript node vs browser differences without jargon
Programming,JavaScript,testing with jest,Speedrun JavaScript testing with jest: archetypes you must know
Programming,JavaScript,perf & memory basics,You’re overcomplicating it — simplify your JavaScript perf & memory basics
Programming,JavaScript,ES6+ essentials,Performance 101: make JavaScript ES6+ essentials 10x faster (no hacks)
Programming,JavaScript,closures & scope,Memory vs speed: tradeoffs in JavaScript closures & scope
Programming,JavaScript,this & prototypes,Idiomatic JavaScript: do’s & don’ts for this & prototypes
Programming,JavaScript,async/await & promises,Debugging live: fix a broken JavaScript async/await & promises solution
Programming,JavaScript,event loop & microtasks,Unit tests that catch subtle bugs in JavaScript event loop & microtasks
Programming,JavaScript,fetch & APIs,JavaScript fetch & APIs cheat sheet — templates + pitfalls
Programming,JavaScript,Map/Set & iterables,Phone screen vs onsite: how JavaScript Map/Set & iterables questions differ
Programming,JavaScript,modules & bundling,Narrate your thinking: explain JavaScript modules & bundling like a pro
Programming,JavaScript,node vs browser differences,Before you code: 4 questions for any JavaScript node vs browser differences
Programming,JavaScript,testing with jest,From DSA to dev: where JavaScript testing with jest shows up in real systems
Programming,JavaScript,perf & memory basics,Edge cases that break 8/10 JavaScript perf & memory basics submissions
Programming,JavaScript,ES6+ essentials,Back-of-the-envelope complexity: JavaScript ES6+ essentials
Programming,JavaScript,closures & scope,Code smells in JavaScript closures & scope — and quick fixes
