pillar,category,seed,title
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",SDE leveling frameworks (India),Quarterly plan for SDE leveling frameworks (India)
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",goal setting & OKRs for devs,Build proof of impact for goal setting & OKRs for devs
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",promotion packets & evidence,Self-review templates for promotion packets & evidence
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",impact narratives & scope,Manager 1:1s that accelerate impact narratives & scope
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",feedback loops & peer signals,Scope expansion roadmap for feedback loops & peer signals
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",staff engineer skills (India context),staff engineer skills (India context) in 60 seconds — what actually works in India
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",cross-team impact & influence,Top 7 mistakes in cross-team impact & influence (and quick fixes)
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",mentorship & sponsorship,From confused to confident: your first week using mentorship & sponsorship
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",building a spike project,Templates you’ll reuse for building a spike project all year
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",avoiding career plateaus,The mental model that unlocks avoiding career plateaus
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",SDE leveling frameworks (India),Beginner → pro roadmap for SDE leveling frameworks (India)
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",goal setting & OKRs for devs,Stop overthinking: a simple system for goal setting & OKRs for devs
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",promotion packets & evidence,Real stories: what I’ve seen go wrong with promotion packets & evidence
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",impact narratives & scope,Checklists that save hours in impact narratives & scope
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",feedback loops & peer signals,What senior engineers look for in feedback loops & peer signals
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",staff engineer skills (India context),Metrics that matter: measure your staff engineer skills (India context)
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",cross-team impact & influence,India-first tips: cross-team impact & influence on low budgets and big goals
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",mentorship & sponsorship,Campus → corporate: translating mentorship & sponsorship fast
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",building a spike project,Starter pack: tools + habits for building a spike project
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",avoiding career plateaus,1% daily improvements in avoiding career plateaus
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",SDE leveling frameworks (India),Do’s & don’ts for SDE leveling frameworks (India) (no fluff)
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",goal setting & OKRs for devs,Speedrun: 5 hacks to boost goal setting & OKRs for devs today
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",promotion packets & evidence,Weekly review ritual for promotion packets & evidence
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",impact narratives & scope,Red flags & green flags in impact narratives & scope
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",feedback loops & peer signals,Quarterly plan for feedback loops & peer signals
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",staff engineer skills (India context),Build proof of impact for staff engineer skills (India context)
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",cross-team impact & influence,Self-review templates for cross-team impact & influence
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",mentorship & sponsorship,Manager 1:1s that accelerate mentorship & sponsorship
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",building a spike project,Scope expansion roadmap for building a spike project
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",avoiding career plateaus,avoiding career plateaus in 60 seconds — what actually works in India
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",SDE leveling frameworks (India),Top 7 mistakes in SDE leveling frameworks (India) (and quick fixes)
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",goal setting & OKRs for devs,From confused to confident: your first week using goal setting & OKRs for devs
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",promotion packets & evidence,Templates you’ll reuse for promotion packets & evidence all year
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",impact narratives & scope,The mental model that unlocks impact narratives & scope
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",feedback loops & peer signals,Beginner → pro roadmap for feedback loops & peer signals
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",staff engineer skills (India context),Stop overthinking: a simple system for staff engineer skills (India context)
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",cross-team impact & influence,Real stories: what I’ve seen go wrong with cross-team impact & influence
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",mentorship & sponsorship,Checklists that save hours in mentorship & sponsorship
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",building a spike project,What senior engineers look for in building a spike project
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",avoiding career plateaus,Metrics that matter: measure your avoiding career plateaus
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",SDE leveling frameworks (India),India-first tips: SDE leveling frameworks (India) on low budgets and big goals
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",goal setting & OKRs for devs,Campus → corporate: translating goal setting & OKRs for devs fast
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",promotion packets & evidence,Starter pack: tools + habits for promotion packets & evidence
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",impact narratives & scope,1% daily improvements in impact narratives & scope
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",feedback loops & peer signals,Do’s & don’ts for feedback loops & peer signals (no fluff)
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",staff engineer skills (India context),Speedrun: 5 hacks to boost staff engineer skills (India context) today
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",cross-team impact & influence,Weekly review ritual for cross-team impact & influence
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",mentorship & sponsorship,Red flags & green flags in mentorship & sponsorship
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",building a spike project,Quarterly plan for building a spike project
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",avoiding career plateaus,Build proof of impact for avoiding career plateaus
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",SDE leveling frameworks (India),Self-review templates for SDE leveling frameworks (India)
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",goal setting & OKRs for devs,Manager 1:1s that accelerate goal setting & OKRs for devs
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",promotion packets & evidence,Scope expansion roadmap for promotion packets & evidence
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",impact narratives & scope,impact narratives & scope in 60 seconds — what actually works in India
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",feedback loops & peer signals,Top 7 mistakes in feedback loops & peer signals (and quick fixes)
Career & Productivity in Tech,"Career — Growth, Promotions & Levels",staff engineer skills (India context),From confused to confident: your first week using staff engineer skills (India context)
