pillar,category,seed,title
APIs & Backend,APIs — REST & HTTP Fundamentals,HTTP verbs & idempotency,Why every Indian startup runs on APIs (and how they scale) — HTTP verbs & idempotency edition
APIs & Backend,APIs — REST & HTTP Fundamentals,status codes & error design,"status codes & error design in 60 seconds — intuition first, headers/bytes later"
APIs & Backend,APIs — REST & HTTP Fundamentals,resources vs RPC,Stop building slow endpoints: resources vs RPC patterns that actually scale
APIs & Backend,APIs — REST & HTTP Fundamentals,pagination & filtering,pagination & filtering vs brute integrations — when to switch and why
APIs & Backend,APIs — REST & HTTP Fundamentals,conditional requests (ETag/If-None-Match),Top 7 mistakes in conditional requests (ETag/If-None-Match) that cost outages
APIs & Backend,APIs — REST & HTTP Fundamentals,caching (Cache-Control/ETag),"From flaky to reliable: retries, idempotency, timeouts for caching (Cache-Control/ETag)"
APIs & Backend,APIs — REST & HTTP Fundamentals,HATEOAS (concept),The mental model that unlocks HATEOAS (concept)
APIs & Backend,APIs — REST & HTTP Fundamentals,content negotiation,Whiteboard to prod: shipping content negotiation with guardrails
APIs & Backend,APIs — REST & HTTP Fundamentals,multipart uploads & large files,Interview day checklist: multipart uploads & large files in 5 bullets
APIs & Backend,APIs — REST & HTTP Fundamentals,validation & contracts,Explain like I’m 5: validation & contracts without jargon
APIs & Backend,APIs — REST & HTTP Fundamentals,OpenAPI/Swagger,"Observability-first OpenAPI/Swagger: logs, metrics, traces"
APIs & Backend,APIs — REST & HTTP Fundamentals,HTTP verbs & idempotency,Cost-aware HTTP verbs & idempotency: make it fast without burning cloud spend
APIs & Backend,APIs — REST & HTTP Fundamentals,status codes & error design,Do’s & don’ts: clean APIs around status codes & error design
APIs & Backend,APIs — REST & HTTP Fundamentals,resources vs RPC,Backpressure and rate limits: taming spiky traffic in resources vs RPC
APIs & Backend,APIs — REST & HTTP Fundamentals,pagination & filtering,API versioning & compatibility: zero-downtime decisions for pagination & filtering
