pillar,category,seed,title
DSA,DSA — Math & Number Theory,GCD/LCM,Overflow-safe math patterns for GCD/LCM
DSA,DSA — Math & Number Theory,Extended Euclid,Mod math pitfalls: negatives & wrapping in Extended Euclid
DSA,DSA — Math & Number Theory,Modular exponentiation,Proof sketch you can explain for Modular exponentiation
DSA,DSA — Math & Number Theory,Modular inverse,When to precompute vs on-the-fly for Modular inverse
DSA,DSA — Math & Number Theory,Sieve of Eratosthenes,Brute → optimized journey for Sieve of Eratosthenes
DSA,DSA — Math & Number Theory,Segmented sieve,Why Segmented sieve scares 90% of interviewees (and how to master it)
DSA,DSA — Math & Number Theory,Euler’s totient (phi),Euler’s totient (phi) in 60 seconds — intuition first
DSA,DSA — Math & Number Theory,CRT (Chinese remainder),Stop brute forcing: spot the CRT (Chinese remainder) trigger words
DSA,DSA — Math & Number Theory,nCr modulo,nCr modulo vs brute force — when to switch and why
DSA,DSA — Math & Number Theory,Fermat/Lucas theorems (intro),Top 7 mistakes in Fermat/Lucas theorems (intro) that cost offers
DSA,DSA — Math & Number Theory,Miller–Rabin primality,From O(N^2) → O(N): optimize your Miller–Rabin primality
DSA,DSA — Math & Number Theory,Pollard Rho (concept),"Pollard Rho (concept) for beginners: visuals, patterns, pitfalls"
DSA,DSA — Math & Number Theory,Inclusion–exclusion,Think like an interviewer: how I grade your Inclusion–exclusion
DSA,DSA — Math & Number Theory,Derangements,Whiteboard to code: Derangements with edge cases
DSA,DSA — Math & Number Theory,Meet-in-the-middle,You don’t need to memorize — template for Meet-in-the-middle
DSA,DSA — Math & Number Theory,Fast Walsh–Hadamard (XOR conv) (mention),"Fast Walsh–Hadamard (XOR conv) (mention) cheat sheet: patterns, templates, tests"
DSA,DSA — Math & Number Theory,GCD/LCM,Interview day checklist for GCD/LCM
DSA,DSA — Math & Number Theory,Extended Euclid,The ‘aha!’ intuition behind Extended Euclid
DSA,DSA — Math & Number Theory,Modular exponentiation,Hidden constraints that break Modular exponentiation
DSA,DSA — Math & Number Theory,Modular inverse,Prove correctness for Modular inverse in plain English
DSA,DSA — Math & Number Theory,Sieve of Eratosthenes,Speedrun Sieve of Eratosthenes: archetypes you must know
DSA,DSA — Math & Number Theory,Segmented sieve,Complexity showdown: naive vs optimal Segmented sieve
DSA,DSA — Math & Number Theory,Euler’s totient (phi),Unit tests that catch subtle Euler’s totient (phi) bugs
DSA,DSA — Math & Number Theory,CRT (Chinese remainder),Back-of-the-envelope complexity for CRT (Chinese remainder)
DSA,DSA — Math & Number Theory,nCr modulo,One trick that simplifies most nCr modulo questions
