pillar,category,seed,title
APIs & Backend,APIs — Async & Realtime,Webhooks design,Why every Indian startup runs on APIs (and how they scale) — Webhooks design edition
APIs & Backend,APIs — Async & Realtime,idempotency & retries for webhooks,"idempotency & retries for webhooks in 60 seconds — intuition first, headers/bytes later"
APIs & Backend,APIs — Async & Realtime,SSE vs WebSockets vs Long Polling,Stop building slow endpoints: SSE vs WebSockets vs Long Polling patterns that actually scale
APIs & Backend,APIs — Async & Realtime,message queues & backpressure,message queues & backpressure vs brute integrations — when to switch and why
APIs & Backend,APIs — Async & Realtime,outbox/inbox patterns,Top 7 mistakes in outbox/inbox patterns that cost outages
APIs & Backend,APIs — Async & Realtime,sagas & choreography,"From flaky to reliable: retries, idempotency, timeouts for sagas & choreography"
APIs & Backend,APIs — Async & Realtime,exactly-once (myth) & at-least-once reality,The mental model that unlocks exactly-once (myth) & at-least-once reality
APIs & Backend,APIs — Async & Realtime,cron & scheduled jobs,Whiteboard to prod: shipping cron & scheduled jobs with guardrails
APIs & Backend,APIs — Async & Realtime,push notifications,Interview day checklist: push notifications in 5 bullets
APIs & Backend,APIs — Async & Realtime,event schemas & evolution,Explain like I’m 5: event schemas & evolution without jargon
APIs & Backend,APIs — Async & Realtime,real-time presence & typing indicators,"Observability-first real-time presence & typing indicators: logs, metrics, traces"
APIs & Backend,APIs — Async & Realtime,Webhooks design,Cost-aware Webhooks design: make it fast without burning cloud spend
APIs & Backend,APIs — Async & Realtime,idempotency & retries for webhooks,Do’s & don’ts: clean APIs around idempotency & retries for webhooks
APIs & Backend,APIs — Async & Realtime,SSE vs WebSockets vs Long Polling,Backpressure and rate limits: taming spiky traffic in SSE vs WebSockets vs Long Polling
APIs & Backend,APIs — Async & Realtime,message queues & backpressure,API versioning & compatibility: zero-downtime decisions for message queues & backpressure
APIs & Backend,APIs — Async & Realtime,outbox/inbox patterns,N+1 killers: caching & pagination patterns for outbox/inbox patterns
APIs & Backend,APIs — Async & Realtime,sagas & choreography,SLOs & SLAs: promise what you can keep with sagas & choreography
APIs & Backend,APIs — Async & Realtime,exactly-once (myth) & at-least-once reality,Blueprint: load test & stage rollouts for exactly-once (myth) & at-least-once reality
APIs & Backend,APIs — Async & Realtime,cron & scheduled jobs,Security checklist before launch: cron & scheduled jobs
APIs & Backend,APIs — Async & Realtime,push notifications,Postmortem 101: learning from incidents in push notifications
APIs & Backend,APIs — Async & Realtime,event schemas & evolution,Why every Indian startup runs on APIs (and how they scale) — event schemas & evolution edition
APIs & Backend,APIs — Async & Realtime,real-time presence & typing indicators,"real-time presence & typing indicators in 60 seconds — intuition first, headers/bytes later"
APIs & Backend,APIs — Async & Realtime,Webhooks design,Stop building slow endpoints: Webhooks design patterns that actually scale
APIs & Backend,APIs — Async & Realtime,idempotency & retries for webhooks,idempotency & retries for webhooks vs brute integrations — when to switch and why
APIs & Backend,APIs — Async & Realtime,SSE vs WebSockets vs Long Polling,Top 7 mistakes in SSE vs WebSockets vs Long Polling that cost outages
APIs & Backend,APIs — Async & Realtime,message queues & backpressure,"From flaky to reliable: retries, idempotency, timeouts for message queues & backpressure"
APIs & Backend,APIs — Async & Realtime,outbox/inbox patterns,The mental model that unlocks outbox/inbox patterns
APIs & Backend,APIs — Async & Realtime,sagas & choreography,Whiteboard to prod: shipping sagas & choreography with guardrails
APIs & Backend,APIs — Async & Realtime,exactly-once (myth) & at-least-once reality,Interview day checklist: exactly-once (myth) & at-least-once reality in 5 bullets
APIs & Backend,APIs — Async & Realtime,cron & scheduled jobs,Explain like I’m 5: cron & scheduled jobs without jargon
APIs & Backend,APIs — Async & Realtime,push notifications,"Observability-first push notifications: logs, metrics, traces"
APIs & Backend,APIs — Async & Realtime,event schemas & evolution,Cost-aware event schemas & evolution: make it fast without burning cloud spend
APIs & Backend,APIs — Async & Realtime,real-time presence & typing indicators,Do’s & don’ts: clean APIs around real-time presence & typing indicators
APIs & Backend,APIs — Async & Realtime,Webhooks design,Backpressure and rate limits: taming spiky traffic in Webhooks design
APIs & Backend,APIs — Async & Realtime,idempotency & retries for webhooks,API versioning & compatibility: zero-downtime decisions for idempotency & retries for webhooks
APIs & Backend,APIs — Async & Realtime,SSE vs WebSockets vs Long Polling,N+1 killers: caching & pagination patterns for SSE vs WebSockets vs Long Polling
APIs & Backend,APIs — Async & Realtime,message queues & backpressure,SLOs & SLAs: promise what you can keep with message queues & backpressure
APIs & Backend,APIs — Async & Realtime,outbox/inbox patterns,Blueprint: load test & stage rollouts for outbox/inbox patterns
APIs & Backend,APIs — Async & Realtime,sagas & choreography,Security checklist before launch: sagas & choreography
APIs & Backend,APIs — Async & Realtime,exactly-once (myth) & at-least-once reality,Postmortem 101: learning from incidents in exactly-once (myth) & at-least-once reality
APIs & Backend,APIs — Async & Realtime,cron & scheduled jobs,Why every Indian startup runs on APIs (and how they scale) — cron & scheduled jobs edition
APIs & Backend,APIs — Async & Realtime,push notifications,"push notifications in 60 seconds — intuition first, headers/bytes later"
APIs & Backend,APIs — Async & Realtime,event schemas & evolution,Stop building slow endpoints: event schemas & evolution patterns that actually scale
APIs & Backend,APIs — Async & Realtime,real-time presence & typing indicators,real-time presence & typing indicators vs brute integrations — when to switch and why
APIs & Backend,APIs — Async & Realtime,Webhooks design,Top 7 mistakes in Webhooks design that cost outages
APIs & Backend,APIs — Async & Realtime,idempotency & retries for webhooks,"From flaky to reliable: retries, idempotency, timeouts for idempotency & retries for webhooks"
APIs & Backend,APIs — Async & Realtime,SSE vs WebSockets vs Long Polling,The mental model that unlocks SSE vs WebSockets vs Long Polling
APIs & Backend,APIs — Async & Realtime,message queues & backpressure,Whiteboard to prod: shipping message queues & backpressure with guardrails
APIs & Backend,APIs — Async & Realtime,outbox/inbox patterns,Interview day checklist: outbox/inbox patterns in 5 bullets
APIs & Backend,APIs — Async & Realtime,sagas & choreography,Explain like I’m 5: sagas & choreography without jargon
APIs & Backend,APIs — Async & Realtime,exactly-once (myth) & at-least-once reality,"Observability-first exactly-once (myth) & at-least-once reality: logs, metrics, traces"
APIs & Backend,APIs — Async & Realtime,cron & scheduled jobs,Cost-aware cron & scheduled jobs: make it fast without burning cloud spend
APIs & Backend,APIs — Async & Realtime,push notifications,Do’s & don’ts: clean APIs around push notifications
APIs & Backend,APIs — Async & Realtime,event schemas & evolution,Backpressure and rate limits: taming spiky traffic in event schemas & evolution
APIs & Backend,APIs — Async & Realtime,real-time presence & typing indicators,API versioning & compatibility: zero-downtime decisions for real-time presence & typing indicators
APIs & Backend,APIs — Async & Realtime,Webhooks design,N+1 killers: caching & pagination patterns for Webhooks design
