pillar,category,seed,title
HLD,"Travel, Mobility & Ticketing",Peak sale scaling,HLD: How IRCTC handles Tatkal opening minute in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Peak sale scaling,HLD: How IRCTC handles festival weekend in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Peak sale scaling,HLD: How IRCTC handles airport rain delays in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Peak sale scaling,HLD: How IRCTC handles metro strike day in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Peak sale scaling,HLD: How IRCTC handles concert ticket drop in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Peak sale scaling,HLD: How IRCTC handles long weekend traffic in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Realtime updates,HLD: How IRCTC handles Tatkal opening minute in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Realtime updates,HLD: How IRCTC handles festival weekend in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Realtime updates,HLD: How IRCTC handles airport rain delays in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Realtime updates,HLD: How IRCTC handles metro strike day in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Realtime updates,HLD: How IRCTC handles concert ticket drop in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Realtime updates,HLD: How IRCTC handles long weekend traffic in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Checkout & payments,HLD: How IRCTC handles Tatkal opening minute in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Checkout & payments,HLD: How IRCTC handles festival weekend in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Checkout & payments,HLD: How IRCTC handles airport rain delays in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Checkout & payments,HLD: How IRCTC handles metro strike day in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Checkout & payments,HLD: How IRCTC handles concert ticket drop in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Checkout & payments,HLD: How IRCTC handles long weekend traffic in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Fraud & abuse prevention,HLD: How IRCTC handles Tatkal opening minute in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Fraud & abuse prevention,HLD: How IRCTC handles festival weekend in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Fraud & abuse prevention,HLD: How IRCTC handles airport rain delays in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Fraud & abuse prevention,HLD: How IRCTC handles metro strike day in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Fraud & abuse prevention,HLD: How IRCTC handles concert ticket drop in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Fraud & abuse prevention,HLD: How IRCTC handles long weekend traffic in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Search & ranking,HLD: How IRCTC handles Tatkal opening minute in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Search & ranking,HLD: How IRCTC handles festival weekend in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Search & ranking,HLD: How IRCTC handles airport rain delays in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Search & ranking,HLD: How IRCTC handles metro strike day in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Search & ranking,HLD: How IRCTC handles concert ticket drop in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Search & ranking,HLD: How IRCTC handles long weekend traffic in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Caching & CDN,HLD: How IRCTC handles Tatkal opening minute in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Caching & CDN,HLD: How IRCTC handles festival weekend in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Caching & CDN,HLD: How IRCTC handles airport rain delays in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Caching & CDN,HLD: How IRCTC handles metro strike day in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Caching & CDN,HLD: How IRCTC handles concert ticket drop in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Caching & CDN,HLD: How IRCTC handles long weekend traffic in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Queues & backpressure,HLD: How IRCTC handles Tatkal opening minute in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Queues & backpressure,HLD: How IRCTC handles festival weekend in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Queues & backpressure,HLD: How IRCTC handles airport rain delays in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Queues & backpressure,HLD: How IRCTC handles metro strike day in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Queues & backpressure,HLD: How IRCTC handles concert ticket drop in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Queues & backpressure,HLD: How IRCTC handles long weekend traffic in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Observability & SLOs,HLD: How IRCTC handles Tatkal opening minute in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Observability & SLOs,HLD: How IRCTC handles festival weekend in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Observability & SLOs,HLD: How IRCTC handles airport rain delays in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Observability & SLOs,HLD: How IRCTC handles metro strike day in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Observability & SLOs,HLD: How IRCTC handles concert ticket drop in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Observability & SLOs,HLD: How IRCTC handles long weekend traffic in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Cost optimization,HLD: How IRCTC handles Tatkal opening minute in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Cost optimization,HLD: How IRCTC handles festival weekend in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Cost optimization,HLD: How IRCTC handles airport rain delays in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Cost optimization,HLD: How IRCTC handles metro strike day in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Cost optimization,HLD: How IRCTC handles concert ticket drop in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Cost optimization,HLD: How IRCTC handles long weekend traffic in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Offline/low-network,HLD: How IRCTC handles Tatkal opening minute in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Offline/low-network,HLD: How IRCTC handles festival weekend in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Offline/low-network,HLD: How IRCTC handles airport rain delays in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Offline/low-network,HLD: How IRCTC handles metro strike day in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Offline/low-network,HLD: How IRCTC handles concert ticket drop in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Offline/low-network,HLD: How IRCTC handles long weekend traffic in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Data modeling,HLD: How IRCTC handles Tatkal opening minute in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Data modeling,HLD: How IRCTC handles festival weekend in Bengaluru without crashing
HLD,"Travel, Mobility & Ticketing",Data modeling,HLD: How IRCTC handles airport rain delays in Bengaluru without crashing
